School Name,Division Name,free_reduced_lunch_percentage,Sch_Div
Abingdon Elementary,Washington County Public Schools,42.4,Abingdon Elementary Washington County Public Schools
Abingdon High,Washington County Public Schools,38.2,Abingdon High Washington County Public Schools
E.B. Stanley Middle,Washington County Public Schools,46.7,E.B. Stanley Middle Washington County Public Schools
Greendale Elementary,Washington County Public Schools,79.6,Greendale Elementary Washington County Public Schools
Watauga Elementary,Washington County Public Schools,42.3,Watauga Elementary Washington County Public Schools
Damascus Middle,Washington County Public Schools,63.6,Damascus Middle Washington County Public Schools
Meadowview Elementary,Washington County Public Schools,79.5,Meadowview Elementary Washington County Public Schools
Glade Spring Middle,Washington County Public Schools,79.7,Glade Spring Middle Washington County Public Schools
Rhea Valley Elementary,Washington County Public Schools,79.7,Rhea Valley Elementary Washington County Public Schools
Patrick Henry High,Washington County Public Schools,49.3,Patrick Henry High Washington County Public Schools
Holston High,Washington County Public Schools,63.1,Holston High Washington County Public Schools
High Point Elementary,Washington County Public Schools,52.9,High Point Elementary Washington County Public Schools
Belfield Elementary,Greensville County Public Schools,98.8,Belfield Elementary Greensville County Public Schools
Greensville Elementary,Greensville County Public Schools,98.8,Greensville Elementary Greensville County Public Schools
Greensville County High,Greensville County Public Schools,98.9,Greensville County High Greensville County Public Schools
Edward W. Wyatt Middle,Greensville County Public Schools,98.9,Edward W. Wyatt Middle Greensville County Public Schools
King George Elementary,King George County Public Schools,38.9,King George Elementary King George County Public Schools
King George High,King George County Public Schools,27.2,King George High King George County Public Schools
King George Middle,King George County Public Schools,29.3,King George Middle King George County Public Schools
Potomac Elementary,King George County Public Schools,27.1,Potomac Elementary King George County Public Schools
Manassas Park Elementary,Manassas Park City Public Schools,70.6,Manassas Park Elementary Manassas Park City Public Schools
Manassas Park Middle,Manassas Park City Public Schools,65.8,Manassas Park Middle Manassas Park City Public Schools
Manassas Park High,Manassas Park City Public Schools,57.9,Manassas Park High Manassas Park City Public Schools
Clarksville Elementary,Mecklenburg County Public Schools,84.2,Clarksville Elementary Mecklenburg County Public Schools
Chase City Elementary,Mecklenburg County Public Schools,84.1,Chase City Elementary Mecklenburg County Public Schools
South Hill Elementary,Mecklenburg County Public Schools,84.2,South Hill Elementary Mecklenburg County Public Schools
Occohannock Elementary,Northampton County Public Schools,84.2,Occohannock Elementary Northampton County Public Schools
Northampton High,Northampton County Public Schools,72.1,Northampton High Northampton County Public Schools
Northampton Middle,Northampton County Public Schools,75.2,Northampton Middle Northampton County Public Schools
Kiptopeke Elementary,Northampton County Public Schools,81.3,Kiptopeke Elementary Northampton County Public Schools
Capron Elementary,Southampton County Public Schools,53.5,Capron Elementary Southampton County Public Schools
Nottoway Elementary,Southampton County Public Schools,42,Nottoway Elementary Southampton County Public Schools
Meherrin Elementary,Southampton County Public Schools,55,Meherrin Elementary Southampton County Public Schools
Southampton Middle,Southampton County Public Schools,48.9,Southampton Middle Southampton County Public Schools
Riverdale Elementary,Southampton County Public Schools,45.7,Riverdale Elementary Southampton County Public Schools
Southampton High,Southampton County Public Schools,35.6,Southampton High Southampton County Public Schools
Covington High,Alleghany Highlands Public Schools,64.5,Covington High Alleghany Highlands Public Schools
Jeter-Watson Elementary,Alleghany Highlands Public Schools,64.6,Jeter-Watson Elementary Alleghany Highlands Public Schools
Mountain View Elementary,Alleghany Highlands Public Schools,80,Mountain View Elementary Alleghany Highlands Public Schools
Clifton Middle,Alleghany Highlands Public Schools,49.9,Clifton Middle Alleghany Highlands Public Schools
Sharon Elementary,Alleghany Highlands Public Schools,64.4,Sharon Elementary Alleghany Highlands Public Schools
Alleghany High,Alleghany Highlands Public Schools,41.1,Alleghany High Alleghany Highlands Public Schools
Callaghan Elementary,Alleghany Highlands Public Schools,52.3,Callaghan Elementary Alleghany Highlands Public Schools
Charles City County Elementary,Charles City County Public Schools,55.6,Charles City County Elementary Charles City County Public Schools
Charles City County High,Charles City County Public Schools,56.2,Charles City County High Charles City County Public Schools
Carver College and Career Academy,Chesterfield County Public Schools,57.2,Carver College and Career Academy Chesterfield County Public Schools
Carver Middle,Chesterfield County Public Schools,52.4,Carver Middle Chesterfield County Public Schools
Elizabeth Davis Middle,Chesterfield County Public Schools,38,Elizabeth Davis Middle Chesterfield County Public Schools
Elizabeth Scott Elementary,Chesterfield County Public Schools,50.6,Elizabeth Scott Elementary Chesterfield County Public Schools
Cosby High,Chesterfield County Public Schools,12.2,Cosby High Chesterfield County Public Schools
Evergreen Elementary,Chesterfield County Public Schools,23.5,Evergreen Elementary Chesterfield County Public Schools
Old Hundred Elementary,Chesterfield County Public Schools,10.6,Old Hundred Elementary Chesterfield County Public Schools
Tomahawk Creek Middle,Chesterfield County Public Schools,11,Tomahawk Creek Middle Chesterfield County Public Schools
Bon Air Elementary,Chesterfield County Public Schools,36.1,Bon Air Elementary Chesterfield County Public Schools
Ecoff Elementary,Chesterfield County Public Schools,45.5,Ecoff Elementary Chesterfield County Public Schools
C.E. Curtis Elementary,Chesterfield County Public Schools,50.7,C.E. Curtis Elementary Chesterfield County Public Schools
Thomas Dale High,Chesterfield County Public Schools,34.5,Thomas Dale High Chesterfield County Public Schools
C.C. Wells Elementary,Chesterfield County Public Schools,35.2,C.C. Wells Elementary Chesterfield County Public Schools
J.A. Chalkley Elementary,Chesterfield County Public Schools,90.2,J.A. Chalkley Elementary Chesterfield County Public Schools
Winterpock Elementary,Chesterfield County Public Schools,6.8,Winterpock Elementary Chesterfield County Public Schools
Matoaca High,Chesterfield County Public Schools,32.9,Matoaca High Chesterfield County Public Schools
Matoaca Middle,Chesterfield County Public Schools,33.6,Matoaca Middle Chesterfield County Public Schools
Crestwood Elementary,Chesterfield County Public Schools,53,Crestwood Elementary Chesterfield County Public Schools
Falling Creek Elementary,Chesterfield County Public Schools,90.2,Falling Creek Elementary Chesterfield County Public Schools
Monacan High,Chesterfield County Public Schools,30,Monacan High Chesterfield County Public Schools
Alberta Smith Elementary,Chesterfield County Public Schools,22.3,Alberta Smith Elementary Chesterfield County Public Schools
Spring Run Elementary,Chesterfield County Public Schools,16.9,Spring Run Elementary Chesterfield County Public Schools
Bailey Bridge Middle,Chesterfield County Public Schools,26.4,Bailey Bridge Middle Chesterfield County Public Schools
Manchester High,Chesterfield County Public Schools,28.6,Manchester High Chesterfield County Public Schools
Clover Hill High,Chesterfield County Public Schools,24.9,Clover Hill High Chesterfield County Public Schools
Thelma Crenshaw Elementary,Chesterfield County Public Schools,46.3,Thelma Crenshaw Elementary Chesterfield County Public Schools
Swift Creek Elementary,Chesterfield County Public Schools,18,Swift Creek Elementary Chesterfield County Public Schools
Swift Creek Middle,Chesterfield County Public Schools,20.1,Swift Creek Middle Chesterfield County Public Schools
Woolridge Elementary,Chesterfield County Public Schools,6.5,Woolridge Elementary Chesterfield County Public Schools
Robious Middle,Chesterfield County Public Schools,25.9,Robious Middle Chesterfield County Public Schools
Robious Elementary,Chesterfield County Public Schools,12.6,Robious Elementary Chesterfield County Public Schools
Bettie Weaver Elementary,Chesterfield County Public Schools,3.2,Bettie Weaver Elementary Chesterfield County Public Schools
Midlothian Middle,Chesterfield County Public Schools,9.2,Midlothian Middle Chesterfield County Public Schools
J.B. Watkins Elementary,Chesterfield County Public Schools,12.8,J.B. Watkins Elementary Chesterfield County Public Schools
Lloyd C. Bird High,Chesterfield County Public Schools,46,Lloyd C. Bird High Chesterfield County Public Schools
Jacobs Road Elementary,Chesterfield County Public Schools,42.1,Jacobs Road Elementary Chesterfield County Public Schools
Marguerite F. Christian Elementary,Chesterfield County Public Schools,60.2,Marguerite F. Christian Elementary Chesterfield County Public Schools
Falling Creek Middle,Chesterfield County Public Schools,90.1,Falling Creek Middle Chesterfield County Public Schools
Meadowbrook High,Chesterfield County Public Schools,58.1,Meadowbrook High Chesterfield County Public Schools
Hopkins Road Elementary,Chesterfield County Public Schools,67.7,Hopkins Road Elementary Chesterfield County Public Schools
Greenfield Elementary,Chesterfield County Public Schools,24.4,Greenfield Elementary Chesterfield County Public Schools
Providence Middle,Chesterfield County Public Schools,57.9,Providence Middle Chesterfield County Public Schools
Manchester Middle,Chesterfield County Public Schools,48.8,Manchester Middle Chesterfield County Public Schools
Providence Elementary,Chesterfield County Public Schools,56.4,Providence Elementary Chesterfield County Public Schools
Bensley Elementary,Chesterfield County Public Schools,90.2,Bensley Elementary Chesterfield County Public Schools
Beulah Elementary,Chesterfield County Public Schools,60.1,Beulah Elementary Chesterfield County Public Schools
Salem Church Middle,Chesterfield County Public Schools,57.8,Salem Church Middle Chesterfield County Public Schools
Salem Church Elementary,Chesterfield County Public Schools,58.2,Salem Church Elementary Chesterfield County Public Schools
Bellwood Elementary,Chesterfield County Public Schools,90.2,Bellwood Elementary Chesterfield County Public Schools
Matoaca Elementary,Chesterfield County Public Schools,51.9,Matoaca Elementary Chesterfield County Public Schools
J.G. Hening Elementary,Chesterfield County Public Schools,57.3,J.G. Hening Elementary Chesterfield County Public Schools
Harrowgate Elementary,Chesterfield County Public Schools,90.2,Harrowgate Elementary Chesterfield County Public Schools
James River High,Chesterfield County Public Schools,28,James River High Chesterfield County Public Schools
Midlothian High,Chesterfield County Public Schools,10.9,Midlothian High Chesterfield County Public Schools
A.M. Davis Elementary,Chesterfield County Public Schools,60.9,A.M. Davis Elementary Chesterfield County Public Schools
Ettrick Elementary,Chesterfield County Public Schools,90.2,Ettrick Elementary Chesterfield County Public Schools
Reams Road Elementary,Chesterfield County Public Schools,60.2,Reams Road Elementary Chesterfield County Public Schools
O.B. Gates Elementary,Chesterfield County Public Schools,30.7,O.B. Gates Elementary Chesterfield County Public Schools
Clover Hill Elementary,Chesterfield County Public Schools,25.8,Clover Hill Elementary Chesterfield County Public Schools
W.W. Gordon Elementary,Chesterfield County Public Schools,11.9,W.W. Gordon Elementary Chesterfield County Public Schools
Grange Hall Elementary,Chesterfield County Public Schools,11.9,Grange Hall Elementary Chesterfield County Public Schools
Enon Elementary,Chesterfield County Public Schools,33.4,Enon Elementary Chesterfield County Public Schools
Hugh Mercer Elementary,Fredericksburg City Public Schools,81,Hugh Mercer Elementary Fredericksburg City Public Schools
James Monroe High,Fredericksburg City Public Schools,42.6,James Monroe High Fredericksburg City Public Schools
Lafayette Elementary,Fredericksburg City Public Schools,81,Lafayette Elementary Fredericksburg City Public Schools
Walker-Grant Middle,Fredericksburg City Public Schools,70,Walker-Grant Middle Fredericksburg City Public Schools
Acquinton Elementary,King William County Public Schools,28.7,Acquinton Elementary King William County Public Schools
Hamilton Holmes Middle,King William County Public Schools,30,Hamilton Holmes Middle King William County Public Schools
King William High,King William County Public Schools,29.7,King William High King William County Public Schools
John L. Hurt Elementary,Pittsylvania County Public Schools,86,John L. Hurt Elementary Pittsylvania County Public Schools
Gretna High,Pittsylvania County Public Schools,61.4,Gretna High Pittsylvania County Public Schools
Mount Airy Elementary,Pittsylvania County Public Schools,82.7,Mount Airy Elementary Pittsylvania County Public Schools
Chatham Elementary,Pittsylvania County Public Schools,85.8,Chatham Elementary Pittsylvania County Public Schools
Chatham High,Pittsylvania County Public Schools,49.2,Chatham High Pittsylvania County Public Schools
Union Hall Elementary,Pittsylvania County Public Schools,82.4,Union Hall Elementary Pittsylvania County Public Schools
Twin Springs Elementary,Pittsylvania County Public Schools,50.5,Twin Springs Elementary Pittsylvania County Public Schools
Tunstall High,Pittsylvania County Public Schools,44,Tunstall High Pittsylvania County Public Schools
Tunstall Middle,Pittsylvania County Public Schools,52.8,Tunstall Middle Pittsylvania County Public Schools
Dan River Middle,Pittsylvania County Public Schools,60.6,Dan River Middle Pittsylvania County Public Schools
Kentuck Elementary,Pittsylvania County Public Schools,61.5,Kentuck Elementary Pittsylvania County Public Schools
Gretna Middle,Pittsylvania County Public Schools,82.6,Gretna Middle Pittsylvania County Public Schools
Stony Mill Elementary,Pittsylvania County Public Schools,59,Stony Mill Elementary Pittsylvania County Public Schools
Southside Elementary,Pittsylvania County Public Schools,62.8,Southside Elementary Pittsylvania County Public Schools
Chatham Middle,Pittsylvania County Public Schools,56.5,Chatham Middle Pittsylvania County Public Schools
Dan River High,Pittsylvania County Public Schools,56.5,Dan River High Pittsylvania County Public Schools
Gretna Elementary,Pittsylvania County Public Schools,86,Gretna Elementary Pittsylvania County Public Schools
Rappahannock County High,Rappahannock County Public Schools,30.1,Rappahannock County High Rappahannock County Public Schools
Rappahannock County Elementary,Rappahannock County Public Schools,42.1,Rappahannock County Elementary Rappahannock County Public Schools
Thornburg Middle,Spotsylvania County Public Schools,36.9,Thornburg Middle Spotsylvania County Public Schools
Brock Road Elementary,Spotsylvania County Public Schools,29.4,Brock Road Elementary Spotsylvania County Public Schools
Courthouse Road Elementary,Spotsylvania County Public Schools,33.6,Courthouse Road Elementary Spotsylvania County Public Schools
Courtland Elementary,Spotsylvania County Public Schools,34,Courtland Elementary Spotsylvania County Public Schools
Courtland High,Spotsylvania County Public Schools,17.5,Courtland High Spotsylvania County Public Schools
Ni River Middle,Spotsylvania County Public Schools,25.5,Ni River Middle Spotsylvania County Public Schools
Post Oak Middle,Spotsylvania County Public Schools,45.8,Post Oak Middle Spotsylvania County Public Schools
Spotsylvania Elementary,Spotsylvania County Public Schools,39.4,Spotsylvania Elementary Spotsylvania County Public Schools
Spotsylvania Middle,Spotsylvania County Public Schools,29.5,Spotsylvania Middle Spotsylvania County Public Schools
Battlefield Elementary,Spotsylvania County Public Schools,44.2,Battlefield Elementary Spotsylvania County Public Schools
Battlefield Middle,Spotsylvania County Public Schools,48.3,Battlefield Middle Spotsylvania County Public Schools
Chancellor High,Spotsylvania County Public Schools,40.2,Chancellor High Spotsylvania County Public Schools
Freedom Middle,Spotsylvania County Public Schools,35.8,Freedom Middle Spotsylvania County Public Schools
Harrison Road Elementary,Spotsylvania County Public Schools,51.3,Harrison Road Elementary Spotsylvania County Public Schools
Parkside Elementary,Spotsylvania County Public Schools,34.4,Parkside Elementary Spotsylvania County Public Schools
Salem Elementary,Spotsylvania County Public Schools,52.8,Salem Elementary Spotsylvania County Public Schools
Smith Station Elementary,Spotsylvania County Public Schools,41,Smith Station Elementary Spotsylvania County Public Schools
Lee Hill Elementary,Spotsylvania County Public Schools,41,Lee Hill Elementary Spotsylvania County Public Schools
Spotswood Elementary,Spotsylvania County Public Schools,53.5,Spotswood Elementary Spotsylvania County Public Schools
Livingston Elementary,Spotsylvania County Public Schools,43,Livingston Elementary Spotsylvania County Public Schools
Cedar Forest Elementary,Spotsylvania County Public Schools,49.3,Cedar Forest Elementary Spotsylvania County Public Schools
Spotsylvania High,Spotsylvania County Public Schools,33.8,Spotsylvania High Spotsylvania County Public Schools
Riverview Elementary,Spotsylvania County Public Schools,45,Riverview Elementary Spotsylvania County Public Schools
Chancellor Elementary,Spotsylvania County Public Schools,20,Chancellor Elementary Spotsylvania County Public Schools
Chancellor Middle,Spotsylvania County Public Schools,45.4,Chancellor Middle Spotsylvania County Public Schools
Wilderness Elementary,Spotsylvania County Public Schools,36.4,Wilderness Elementary Spotsylvania County Public Schools
Massaponax High,Spotsylvania County Public Schools,33,Massaponax High Spotsylvania County Public Schools
Berkeley Elementary,Spotsylvania County Public Schools,48.8,Berkeley Elementary Spotsylvania County Public Schools
Virginia Beach Middle,Virginia Beach City Public Schools,39.1,Virginia Beach Middle Virginia Beach City Public Schools
Kingston Elementary,Virginia Beach City Public Schools,10,Kingston Elementary Virginia Beach City Public Schools
Plaza Middle,Virginia Beach City Public Schools,44.2,Plaza Middle Virginia Beach City Public Schools
Windsor Oaks Elementary,Virginia Beach City Public Schools,56.5,Windsor Oaks Elementary Virginia Beach City Public Schools
Windsor Woods Elementary,Virginia Beach City Public Schools,48.5,Windsor Woods Elementary Virginia Beach City Public Schools
Christopher Farms Elementary,Virginia Beach City Public Schools,30,Christopher Farms Elementary Virginia Beach City Public Schools
Green Run Elementary,Virginia Beach City Public Schools,65.3,Green Run Elementary Virginia Beach City Public Schools
Parkway Elementary,Virginia Beach City Public Schools,100,Parkway Elementary Virginia Beach City Public Schools
Princess Anne Middle,Virginia Beach City Public Schools,13.1,Princess Anne Middle Virginia Beach City Public Schools
Alanton Elementary,Virginia Beach City Public Schools,38.9,Alanton Elementary Virginia Beach City Public Schools
Great Neck Middle,Virginia Beach City Public Schools,29.2,Great Neck Middle Virginia Beach City Public Schools
John B. Dey Elementary,Virginia Beach City Public Schools,18.1,John B. Dey Elementary Virginia Beach City Public Schools
Linkhorn Park Elementary,Virginia Beach City Public Schools,37.6,Linkhorn Park Elementary Virginia Beach City Public Schools
Lynnhaven Middle,Virginia Beach City Public Schools,44.9,Lynnhaven Middle Virginia Beach City Public Schools
Luxford Elementary,Virginia Beach City Public Schools,58.4,Luxford Elementary Virginia Beach City Public Schools
Old Donation School,Virginia Beach City Public Schools,10,Old Donation School Virginia Beach City Public Schools
Shelton Park Elementary,Virginia Beach City Public Schools,44.9,Shelton Park Elementary Virginia Beach City Public Schools
Thoroughgood Elementary,Virginia Beach City Public Schools,17.8,Thoroughgood Elementary Virginia Beach City Public Schools
Floyd Kellam High,Virginia Beach City Public Schools,11.3,Floyd Kellam High Virginia Beach City Public Schools
Landstown Elementary,Virginia Beach City Public Schools,39.2,Landstown Elementary Virginia Beach City Public Schools
Landstown High,Virginia Beach City Public Schools,33.5,Landstown High Virginia Beach City Public Schools
Landstown Middle,Virginia Beach City Public Schools,38.7,Landstown Middle Virginia Beach City Public Schools
New Castle Elementary,Virginia Beach City Public Schools,20.6,New Castle Elementary Virginia Beach City Public Schools
Rosemont Forest Elementary,Virginia Beach City Public Schools,27.6,Rosemont Forest Elementary Virginia Beach City Public Schools
Salem Elementary,Virginia Beach City Public Schools,37.6,Salem Elementary Virginia Beach City Public Schools
Strawbridge Elementary,Virginia Beach City Public Schools,18.8,Strawbridge Elementary Virginia Beach City Public Schools
Three Oaks Elementary,Virginia Beach City Public Schools,15.2,Three Oaks Elementary Virginia Beach City Public Schools
Bayside Middle,Virginia Beach City Public Schools,69.4,Bayside Middle Virginia Beach City Public Schools
Newtown Elementary,Virginia Beach City Public Schools,84.4,Newtown Elementary Virginia Beach City Public Schools
Point O' View Elementary,Virginia Beach City Public Schools,58.4,Point O' View Elementary Virginia Beach City Public Schools
Brandon Middle,Virginia Beach City Public Schools,45.5,Brandon Middle Virginia Beach City Public Schools
Indian Lakes Elementary,Virginia Beach City Public Schools,40.3,Indian Lakes Elementary Virginia Beach City Public Schools
Kempsville Elementary,Virginia Beach City Public Schools,33.1,Kempsville Elementary Virginia Beach City Public Schools
Tallwood High,Virginia Beach City Public Schools,38.9,Tallwood High Virginia Beach City Public Schools
Salem High,Virginia Beach City Public Schools,34.1,Salem High Virginia Beach City Public Schools
W.T. Cooke Elementary,Virginia Beach City Public Schools,43.9,W.T. Cooke Elementary Virginia Beach City Public Schools
Holland Elementary,Virginia Beach City Public Schools,84.4,Holland Elementary Virginia Beach City Public Schools
King's Grant Elementary,Virginia Beach City Public Schools,43.5,King's Grant Elementary Virginia Beach City Public Schools
Brookwood Elementary,Virginia Beach City Public Schools,59.6,Brookwood Elementary Virginia Beach City Public Schools
Frank W. Cox High,Virginia Beach City Public Schools,22.6,Frank W. Cox High Virginia Beach City Public Schools
Trantwood Elementary,Virginia Beach City Public Schools,21.7,Trantwood Elementary Virginia Beach City Public Schools
First Colonial High,Virginia Beach City Public Schools,30.8,First Colonial High Virginia Beach City Public Schools
Corporate Landing Elementary,Virginia Beach City Public Schools,46.9,Corporate Landing Elementary Virginia Beach City Public Schools
Hermitage Elementary,Virginia Beach City Public Schools,40.6,Hermitage Elementary Virginia Beach City Public Schools
Bayside Elementary,Virginia Beach City Public Schools,57.8,Bayside Elementary Virginia Beach City Public Schools
Bayside High,Virginia Beach City Public Schools,52.8,Bayside High Virginia Beach City Public Schools
Pembroke Meadows Elementary,Virginia Beach City Public Schools,42.5,Pembroke Meadows Elementary Virginia Beach City Public Schools
Green Run High,Virginia Beach City Public Schools,58.3,Green Run High Virginia Beach City Public Schools
North Landing Elementary,Virginia Beach City Public Schools,12.4,North Landing Elementary Virginia Beach City Public Schools
Princess Anne Elementary,Virginia Beach City Public Schools,7.1,Princess Anne Elementary Virginia Beach City Public Schools
Creeds Elementary,Virginia Beach City Public Schools,24.3,Creeds Elementary Virginia Beach City Public Schools
Williams Elementary,Virginia Beach City Public Schools,84.4,Williams Elementary Virginia Beach City Public Schools
Pembroke Elementary,Virginia Beach City Public Schools,53.5,Pembroke Elementary Virginia Beach City Public Schools
Princess Anne High,Virginia Beach City Public Schools,28.1,Princess Anne High Virginia Beach City Public Schools
Arrowhead Elementary,Virginia Beach City Public Schools,49.8,Arrowhead Elementary Virginia Beach City Public Schools
Centerville Elementary,Virginia Beach City Public Schools,25.8,Centerville Elementary Virginia Beach City Public Schools
Tallwood Elementary,Virginia Beach City Public Schools,40.5,Tallwood Elementary Virginia Beach City Public Schools
Birdneck Elementary,Virginia Beach City Public Schools,67.5,Birdneck Elementary Virginia Beach City Public Schools
Thalia Elementary,Virginia Beach City Public Schools,50.8,Thalia Elementary Virginia Beach City Public Schools
Kempsville Middle,Virginia Beach City Public Schools,34.3,Kempsville Middle Virginia Beach City Public Schools
Fairfield Elementary,Virginia Beach City Public Schools,33.6,Fairfield Elementary Virginia Beach City Public Schools
Bayside 6th Grade Campus,Virginia Beach City Public Schools,67.2,Bayside 6th Grade Campus Virginia Beach City Public Schools
Kempsville Meadows Elementary,Virginia Beach City Public Schools,42.2,Kempsville Meadows Elementary Virginia Beach City Public Schools
Kempsville High,Virginia Beach City Public Schools,36.6,Kempsville High Virginia Beach City Public Schools
College Park Elementary,Virginia Beach City Public Schools,73.3,College Park Elementary Virginia Beach City Public Schools
White Oaks Elementary,Virginia Beach City Public Schools,55.8,White Oaks Elementary Virginia Beach City Public Schools
Seatack Elementary an Achievable Dream Academy,Virginia Beach City Public Schools,100,Seatack Elementary an Achievable Dream Academy Virginia Beach City Public Schools
Corporate Landing Middle,Virginia Beach City Public Schools,45.9,Corporate Landing Middle Virginia Beach City Public Schools
Malibu Elementary,Virginia Beach City Public Schools,43,Malibu Elementary Virginia Beach City Public Schools
Ocean Lakes High,Virginia Beach City Public Schools,26.9,Ocean Lakes High Virginia Beach City Public Schools
Red Mill Elementary,Virginia Beach City Public Schools,12.6,Red Mill Elementary Virginia Beach City Public Schools
Rosemont Elementary,Virginia Beach City Public Schools,63.8,Rosemont Elementary Virginia Beach City Public Schools
Woodstock Elementary,Virginia Beach City Public Schools,40.8,Woodstock Elementary Virginia Beach City Public Schools
Larkspur Middle,Virginia Beach City Public Schools,54.3,Larkspur Middle Virginia Beach City Public Schools
Independence Middle,Virginia Beach City Public Schools,41.2,Independence Middle Virginia Beach City Public Schools
Providence Elementary,Virginia Beach City Public Schools,34.7,Providence Elementary Virginia Beach City Public Schools
Ocean Lakes Elementary,Virginia Beach City Public Schools,28.7,Ocean Lakes Elementary Virginia Beach City Public Schools
Green Run Collegiate,Virginia Beach City Public Schools,44.4,Green Run Collegiate Virginia Beach City Public Schools
Salem Middle,Virginia Beach City Public Schools,34.8,Salem Middle Virginia Beach City Public Schools
Lynnhaven Elementary,Virginia Beach City Public Schools,65.1,Lynnhaven Elementary Virginia Beach City Public Schools
Glenwood Elementary,Virginia Beach City Public Schools,38.3,Glenwood Elementary Virginia Beach City Public Schools
Cople Elementary,Westmoreland County Public Schools,97.5,Cople Elementary Westmoreland County Public Schools
Montross Middle,Westmoreland County Public Schools,67.2,Montross Middle Westmoreland County Public Schools
Westmoreland High,Westmoreland County Public Schools,67,Westmoreland High Westmoreland County Public Schools
Washington District Elementary,Westmoreland County Public Schools,61.3,Washington District Elementary Westmoreland County Public Schools
Clark Elementary,Charlottesville City Public Schools,85.7,Clark Elementary Charlottesville City Public Schools
Walker Upper Elementary,Charlottesville City Public Schools,59.1,Walker Upper Elementary Charlottesville City Public Schools
Buford Middle,Charlottesville City Public Schools,53.4,Buford Middle Charlottesville City Public Schools
Jackson-Via Elementary,Charlottesville City Public Schools,85.6,Jackson-Via Elementary Charlottesville City Public Schools
Venable Elementary,Charlottesville City Public Schools,31,Venable Elementary Charlottesville City Public Schools
Burnley-Moran Elementary,Charlottesville City Public Schools,42.4,Burnley-Moran Elementary Charlottesville City Public Schools
Greenbrier Elementary,Charlottesville City Public Schools,43.9,Greenbrier Elementary Charlottesville City Public Schools
Charlottesville High,Charlottesville City Public Schools,40.8,Charlottesville High Charlottesville City Public Schools
Johnson Elementary,Charlottesville City Public Schools,85.5,Johnson Elementary Charlottesville City Public Schools
Georgie D. Tyler Middle,Isle of Wight County Public Schools,42.3,Georgie D. Tyler Middle Isle of Wight County Public Schools
Hardy Elementary,Isle of Wight County Public Schools,45.3,Hardy Elementary Isle of Wight County Public Schools
Smithfield High,Isle of Wight County Public Schools,29.1,Smithfield High Isle of Wight County Public Schools
Smithfield Middle,Isle of Wight County Public Schools,33.1,Smithfield Middle Isle of Wight County Public Schools
Westside Elementary,Isle of Wight County Public Schools,34.1,Westside Elementary Isle of Wight County Public Schools
Windsor Elementary,Isle of Wight County Public Schools,42.7,Windsor Elementary Isle of Wight County Public Schools
Windsor High,Isle of Wight County Public Schools,32.4,Windsor High Isle of Wight County Public Schools
Carrollton Elementary,Isle of Wight County Public Schools,26.2,Carrollton Elementary Isle of Wight County Public Schools
Carrsville Elementary,Isle of Wight County Public Schools,43.8,Carrsville Elementary Isle of Wight County Public Schools
Prince Edward County High,Prince Edward County Public Schools,61.2,Prince Edward County High Prince Edward County Public Schools
Prince Edward Elementary,Prince Edward County Public Schools,98.3,Prince Edward Elementary Prince Edward County Public Schools
Prince Edward Middle,Prince Edward County Public Schools,93.3,Prince Edward Middle Prince Edward County Public Schools
South Elementary,Prince George County Public Schools,38.2,South Elementary Prince George County Public Schools
L.L. Beazley Elementary,Prince George County Public Schools,53.4,L.L. Beazley Elementary Prince George County Public Schools
Prince George High,Prince George County Public Schools,36.4,Prince George High Prince George County Public Schools
North Elementary,Prince George County Public Schools,51.4,North Elementary Prince George County Public Schools
David A. Harrison Elementary,Prince George County Public Schools,53.5,David A. Harrison Elementary Prince George County Public Schools
Colonial Heights High,Colonial Heights City Public Schools,47.3,Colonial Heights High Colonial Heights City Public Schools
Colonial Heights Middle,Colonial Heights City Public Schools,61.3,Colonial Heights Middle Colonial Heights City Public Schools
Lakeview Elementary,Colonial Heights City Public Schools,63.7,Lakeview Elementary Colonial Heights City Public Schools
Tussing Elementary,Colonial Heights City Public Schools,54.8,Tussing Elementary Colonial Heights City Public Schools
North Elementary,Colonial Heights City Public Schools,72.7,North Elementary Colonial Heights City Public Schools
King & Queen Elementary,King and Queen County Public Schools,69.9,King & Queen Elementary King and Queen County Public Schools
Lawson-Marriott Elementary,King and Queen County Public Schools,68.7,Lawson-Marriott Elementary King and Queen County Public Schools
Central High,King and Queen County Public Schools,54.6,Central High King and Queen County Public Schools
Northumberland Elementary,Northumberland County Public Schools,77.9,Northumberland Elementary Northumberland County Public Schools
Northumberland High,Northumberland County Public Schools,77.9,Northumberland High Northumberland County Public Schools
Northumberland Middle,Northumberland County Public Schools,77.9,Northumberland Middle Northumberland County Public Schools
Bristow Run Elementary,Prince William County Public Schools,17,Bristow Run Elementary Prince William County Public Schools
Cedar Point Elementary,Prince William County Public Schools,17.2,Cedar Point Elementary Prince William County Public Schools
Chris Yung Elementary,Prince William County Public Schools,41.4,Chris Yung Elementary Prince William County Public Schools
E.H. Marsteller Middle,Prince William County Public Schools,17.9,E.H. Marsteller Middle Prince William County Public Schools
Piney Branch Elementary,Prince William County Public Schools,14.6,Piney Branch Elementary Prince William County Public Schools
Victory Elementary,Prince William County Public Schools,29.1,Victory Elementary Prince William County Public Schools
A. Henderson Elementary,Prince William County Public Schools,25.8,A. Henderson Elementary Prince William County Public Schools
