School Name,Division Name,End_of_Year_Average_Daily_Membership,School_Level_Expenditures_Per_Pupil_Federal,School_Level_Expenditures_Per_Pupil_State,Division_Level_Expenditures_Per_Pupil_Federal,Division_Level_Expenditures_Per_Pupil_State,Total_Per_Pupil_Expenditures,Total_Expenditures,Sch_Div
James River High,Chesterfield County Public Schools,1827.39,130,6373,543,4412,11458,20938937,James River High Chesterfield County Public Schools
Midlothian High,Chesterfield County Public Schools,1917.96,233,6257,543,4412,11446,21952136,Midlothian High Chesterfield County Public Schools
A.M. Davis Elementary,Chesterfield County Public Schools,726.34,682,6510,543,4412,12147,8822645,A.M. Davis Elementary Chesterfield County Public Schools
Ettrick Elementary,Chesterfield County Public Schools,490.18,879,8338,543,4412,14172,6946661,Ettrick Elementary Chesterfield County Public Schools
Reams Road Elementary,Chesterfield County Public Schools,557,404,7536,543,4412,12895,7182461,Reams Road Elementary Chesterfield County Public Schools
O.B. Gates Elementary,Chesterfield County Public Schools,554.91,236,9423,543,4412,14615,8109858,O.B. Gates Elementary Chesterfield County Public Schools
Clover Hill Elementary,Chesterfield County Public Schools,783.14,0,6350,543,4412,11305,8853078,Clover Hill Elementary Chesterfield County Public Schools
W.W. Gordon Elementary,Chesterfield County Public Schools,584.87,196,7189,543,4412,12340,7217115,W.W. Gordon Elementary Chesterfield County Public Schools
Grange Hall Elementary,Chesterfield County Public Schools,889.76,104,5734,543,4412,10793,9603188,Grange Hall Elementary Chesterfield County Public Schools
Enon Elementary,Chesterfield County Public Schools,758.41,252,6055,543,4412,11262,8541322,Enon Elementary Chesterfield County Public Schools
Hugh Mercer Elementary,Fredericksburg City Public Schools,846.13,1492,10001,354,4299,16146,13661397,Hugh Mercer Elementary Fredericksburg City Public Schools
James Monroe High,Fredericksburg City Public Schools,1004.89,1292,9493,354,4299,15438,15513781,James Monroe High Fredericksburg City Public Schools
Lafayette Elementary,Fredericksburg City Public Schools,799.77,1624,9866,354,4299,16143,12910620,Lafayette Elementary Fredericksburg City Public Schools
Walker-Grant Middle,Fredericksburg City Public Schools,768.25,1534,9790,354,4299,15977,12274141,Walker-Grant Middle Fredericksburg City Public Schools
Acquinton Elementary,King William County Public Schools,422.59,811,9000,148,3441,13401,5662972,Acquinton Elementary King William County Public Schools
Hamilton Holmes Middle,King William County Public Schools,467.38,35,8708,148,3441,12332,5763903,Hamilton Holmes Middle King William County Public Schools
King William High,King William County Public Schools,664.18,598,7981,148,3441,12168,8081518,King William High King William County Public Schools
John L. Hurt Elementary,Pittsylvania County Public Schools,231.93,710,8587,336,3275,12908,2993753,John L. Hurt Elementary Pittsylvania County Public Schools
Gretna High,Pittsylvania County Public Schools,542.49,623,7769,336,3275,12002,6511224,Gretna High Pittsylvania County Public Schools
Mount Airy Elementary,Pittsylvania County Public Schools,132.02,1885,9914,336,3275,15410,2034429,Mount Airy Elementary Pittsylvania County Public Schools
Chatham Elementary,Pittsylvania County Public Schools,237.82,1245,9019,336,3275,13875,3299754,Chatham Elementary Pittsylvania County Public Schools
Chatham High,Pittsylvania County Public Schools,591.05,252,8063,336,3275,11927,7049175,Chatham High Pittsylvania County Public Schools
Union Hall Elementary,Pittsylvania County Public Schools,166.66,1930,10619,336,3275,16159,2693128,Union Hall Elementary Pittsylvania County Public Schools
Twin Springs Elementary,Pittsylvania County Public Schools,639.18,498,6476,336,3275,10585,6765559,Twin Springs Elementary Pittsylvania County Public Schools
Tunstall High,Pittsylvania County Public Schools,798.51,59,7521,336,3275,11192,8936555,Tunstall High Pittsylvania County Public Schools
Tunstall Middle,Pittsylvania County Public Schools,564.34,336,6624,336,3275,10572,5965954,Tunstall Middle Pittsylvania County Public Schools
Dan River Middle,Pittsylvania County Public Schools,442.49,507,7766,336,3275,11884,5258376,Dan River Middle Pittsylvania County Public Schools
Kentuck Elementary,Pittsylvania County Public Schools,503,672,6436,336,3275,10719,5391722,Kentuck Elementary Pittsylvania County Public Schools
Gretna Middle,Pittsylvania County Public Schools,397.21,751,7565,336,3275,11927,4737343,Gretna Middle Pittsylvania County Public Schools
Stony Mill Elementary,Pittsylvania County Public Schools,407.21,780,6751,336,3275,11142,4537274,Stony Mill Elementary Pittsylvania County Public Schools
Southside Elementary,Pittsylvania County Public Schools,388.97,741,7863,336,3275,12215,4751320,Southside Elementary Pittsylvania County Public Schools
Chatham Middle,Pittsylvania County Public Schools,448.72,752,6734,336,3275,11097,4979444,Chatham Middle Pittsylvania County Public Schools
Dan River High,Pittsylvania County Public Schools,602.44,233,8376,336,3275,12221,7362236,Dan River High Pittsylvania County Public Schools
Gretna Elementary,Pittsylvania County Public Schools,466.44,944,6563,336,3275,11118,5186038,Gretna Elementary Pittsylvania County Public Schools
Rappahannock County High,Rappahannock County Public Schools,303.78,158,14204,133,4711,19205,5834128,Rappahannock County High Rappahannock County Public Schools
Rappahannock County Elementary,Rappahannock County Public Schools,446.89,2125,10071,133,4711,17039,7614626,Rappahannock County Elementary Rappahannock County Public Schools
Thornburg Middle,Spotsylvania County Public Schools,672.19,103,8268,594,4296,13261,8913608,Thornburg Middle Spotsylvania County Public Schools
Brock Road Elementary,Spotsylvania County Public Schools,664.05,371,7709,594,4296,12970,8612528,Brock Road Elementary Spotsylvania County Public Schools
Courthouse Road Elementary,Spotsylvania County Public Schools,770.14,230,7715,594,4296,12836,9885332,Courthouse Road Elementary Spotsylvania County Public Schools
Courtland Elementary,Spotsylvania County Public Schools,508.77,268,10091,594,4296,15249,7758219,Courtland Elementary Spotsylvania County Public Schools
Courtland High,Spotsylvania County Public Schools,1525.17,212,6225,594,4296,11327,17275503,Courtland High Spotsylvania County Public Schools
Ni River Middle,Spotsylvania County Public Schools,713.65,426,7572,594,4296,12888,9197727,Ni River Middle Spotsylvania County Public Schools
Post Oak Middle,Spotsylvania County Public Schools,687.9,237,7582,594,4296,12710,8743058,Post Oak Middle Spotsylvania County Public Schools
Spotsylvania Elementary,Spotsylvania County Public Schools,561.44,353,7384,594,4296,12628,7089649,Spotsylvania Elementary Spotsylvania County Public Schools
Spotsylvania Middle,Spotsylvania County Public Schools,973.79,77,6739,594,4296,11706,11398887,Spotsylvania Middle Spotsylvania County Public Schools
Battlefield Elementary,Spotsylvania County Public Schools,674.89,882,7050,594,4296,12821,8653078,Battlefield Elementary Spotsylvania County Public Schools
Battlefield Middle,Spotsylvania County Public Schools,822.33,324,7425,594,4296,12639,10393637,Battlefield Middle Spotsylvania County Public Schools
Chancellor High,Spotsylvania County Public Schools,1368.02,326,6551,594,4296,11768,16098714,Chancellor High Spotsylvania County Public Schools
Freedom Middle,Spotsylvania County Public Schools,767.76,350,8024,594,4296,13264,10183220,Freedom Middle Spotsylvania County Public Schools
Harrison Road Elementary,Spotsylvania County Public Schools,708.94,1160,8010,594,4296,14060,9967752,Harrison Road Elementary Spotsylvania County Public Schools
Parkside Elementary,Spotsylvania County Public Schools,954.47,493,6780,594,4296,12164,11609867,Parkside Elementary Spotsylvania County Public Schools
Salem Elementary,Spotsylvania County Public Schools,581.92,843,8154,594,4296,13887,8081362,Salem Elementary Spotsylvania County Public Schools
Smith Station Elementary,Spotsylvania County Public Schools,670.9,227,8845,594,4296,13962,9367263,Smith Station Elementary Spotsylvania County Public Schools
Lee Hill Elementary,Spotsylvania County Public Schools,628.01,815,7782,594,4296,13487,8470165,Lee Hill Elementary Spotsylvania County Public Schools
Spotswood Elementary,Spotsylvania County Public Schools,513.17,929,8010,594,4296,13829,7096502,Spotswood Elementary Spotsylvania County Public Schools
Livingston Elementary,Spotsylvania County Public Schools,399.23,634,8702,594,4296,14226,5679606,Livingston Elementary Spotsylvania County Public Schools
Cedar Forest Elementary,Spotsylvania County Public Schools,774.13,1492,6667,594,4296,13050,10102140,Cedar Forest Elementary Spotsylvania County Public Schools
Spotsylvania High,Spotsylvania County Public Schools,1266.77,139,7113,594,4296,12143,15382101,Spotsylvania High Spotsylvania County Public Schools
Riverview Elementary,Spotsylvania County Public Schools,651.04,859,8466,594,4296,14214,9254198,Riverview Elementary Spotsylvania County Public Schools
Chancellor Elementary,Spotsylvania County Public Schools,423.24,218,8667,594,4296,13774,5829889,Chancellor Elementary Spotsylvania County Public Schools
Chancellor Middle,Spotsylvania County Public Schools,861.13,154,7272,594,4296,12316,10605457,Chancellor Middle Spotsylvania County Public Schools
Wilderness Elementary,Spotsylvania County Public Schools,634.16,478,9035,594,4296,14404,9134198,Wilderness Elementary Spotsylvania County Public Schools
Massaponax High,Spotsylvania County Public Schools,1656.03,208,7211,594,4296,12309,20384240,Massaponax High Spotsylvania County Public Schools
Berkeley Elementary,Spotsylvania County Public Schools,271.91,685,11234,594,4296,16810,4570703,Berkeley Elementary Spotsylvania County Public Schools
Virginia Beach Middle,Virginia Beach City Public Schools,615.29,1309,13606,0,0,14915,9177038,Virginia Beach Middle Virginia Beach City Public Schools
Kingston Elementary,Virginia Beach City Public Schools,489.78,1403,11513,0,0,12916,6326182,Kingston Elementary Virginia Beach City Public Schools
Plaza Middle,Virginia Beach City Public Schools,1024.39,1190,12275,0,0,13466,13794384,Plaza Middle Virginia Beach City Public Schools
Windsor Oaks Elementary,Virginia Beach City Public Schools,500.59,1687,12453,0,0,14140,7078389,Windsor Oaks Elementary Virginia Beach City Public Schools
Windsor Woods Elementary,Virginia Beach City Public Schools,419.17,1536,14118,0,0,15654,6561858,Windsor Woods Elementary Virginia Beach City Public Schools
Christopher Farms Elementary,Virginia Beach City Public Schools,649.98,1165,11008,0,0,12174,7912623,Christopher Farms Elementary Virginia Beach City Public Schools
Green Run Elementary,Virginia Beach City Public Schools,323.51,2894,15551,0,0,18446,5967337,Green Run Elementary Virginia Beach City Public Schools
Parkway Elementary,Virginia Beach City Public Schools,462.83,2986,13345,0,0,16332,7559029,Parkway Elementary Virginia Beach City Public Schools
Princess Anne Middle,Virginia Beach City Public Schools,1338.32,1202,10522,0,0,11724,15691022,Princess Anne Middle Virginia Beach City Public Schools
Alanton Elementary,Virginia Beach City Public Schools,603.34,1791,12424,0,0,14216,8576856,Alanton Elementary Virginia Beach City Public Schools
Great Neck Middle,Virginia Beach City Public Schools,1069.32,1189,11126,0,0,12316,13169758,Great Neck Middle Virginia Beach City Public Schools
John B. Dey Elementary,Virginia Beach City Public Schools,758.8,1541,10744,0,0,12286,9322283,John B. Dey Elementary Virginia Beach City Public Schools
Linkhorn Park Elementary,Virginia Beach City Public Schools,518.68,1483,12256,0,0,13739,7126106,Linkhorn Park Elementary Virginia Beach City Public Schools
Lynnhaven Middle,Virginia Beach City Public Schools,941.36,1512,12975,0,0,14487,13637504,Lynnhaven Middle Virginia Beach City Public Schools
Luxford Elementary,Virginia Beach City Public Schools,469.05,2256,12692,0,0,14948,7011443,Luxford Elementary Virginia Beach City Public Schools
Old Donation School,Virginia Beach City Public Schools,1294.3,1045,10746,0,0,11792,15262527,Old Donation School Virginia Beach City Public Schools
Shelton Park Elementary,Virginia Beach City Public Schools,425.56,1998,12858,0,0,14856,6322250,Shelton Park Elementary Virginia Beach City Public Schools
Thoroughgood Elementary,Virginia Beach City Public Schools,719.34,1201,10033,0,0,11235,8081514,Thoroughgood Elementary Virginia Beach City Public Schools
Floyd Kellam High,Virginia Beach City Public Schools,1869.85,1374,10775,0,0,12150,22718034,Floyd Kellam High Virginia Beach City Public Schools
Landstown Elementary,Virginia Beach City Public Schools,709.9,1360,12330,0,0,13690,9718441,Landstown Elementary Virginia Beach City Public Schools
Landstown High,Virginia Beach City Public Schools,2184.35,1148,10652,0,0,11800,25775747,Landstown High Virginia Beach City Public Schools
Landstown Middle,Virginia Beach City Public Schools,1345.26,1324,10679,0,0,12004,16148821,Landstown Middle Virginia Beach City Public Schools
New Castle Elementary,Virginia Beach City Public Schools,704.89,1221,10705,0,0,11926,8406597,New Castle Elementary Virginia Beach City Public Schools
Rosemont Forest Elementary,Virginia Beach City Public Schools,516.11,1280,11766,0,0,13046,6733396,Rosemont Forest Elementary Virginia Beach City Public Schools
Salem Elementary,Virginia Beach City Public Schools,534.49,1126,11917,0,0,13043,6971340,Salem Elementary Virginia Beach City Public Schools
Strawbridge Elementary,Virginia Beach City Public Schools,599.15,1214,11389,0,0,12603,7551289,Strawbridge Elementary Virginia Beach City Public Schools
Three Oaks Elementary,Virginia Beach City Public Schools,658.7,1400,10695,0,0,12095,7967228,Three Oaks Elementary Virginia Beach City Public Schools
Bayside Middle,Virginia Beach City Public Schools,759.73,2111,13163,0,0,15275,11604529,Bayside Middle Virginia Beach City Public Schools
Newtown Elementary,Virginia Beach City Public Schools,426.21,2621,13761,0,0,16382,6982342,Newtown Elementary Virginia Beach City Public Schools
Point O' View Elementary,Virginia Beach City Public Schools,750.5,2129,11442,0,0,13572,10185517,Point O' View Elementary Virginia Beach City Public Schools
Brandon Middle,Virginia Beach City Public Schools,1093.36,1311,12120,0,0,13432,14685552,Brandon Middle Virginia Beach City Public Schools
Indian Lakes Elementary,Virginia Beach City Public Schools,554.4,1468,11075,0,0,12543,6953853,Indian Lakes Elementary Virginia Beach City Public Schools
Kempsville Elementary,Virginia Beach City Public Schools,454.34,1731,13233,0,0,14965,6799123,Kempsville Elementary Virginia Beach City Public Schools
Tallwood High,Virginia Beach City Public Schools,1809.7,1165,11465,0,0,12631,22858000,Tallwood High Virginia Beach City Public Schools
Salem High,Virginia Beach City Public Schools,1624.63,1118,11478,0,0,12597,20465148,Salem High Virginia Beach City Public Schools
W.T. Cooke Elementary,Virginia Beach City Public Schools,545.47,1191,12374,0,0,13565,7399399,W.T. Cooke Elementary Virginia Beach City Public Schools
Holland Elementary,Virginia Beach City Public Schools,462.1,3412,13583,0,0,16995,7853587,Holland Elementary Virginia Beach City Public Schools
King's Grant Elementary,Virginia Beach City Public Schools,501,1389,12199,0,0,13588,6807591,King's Grant Elementary Virginia Beach City Public Schools
Brookwood Elementary,Virginia Beach City Public Schools,567.74,2395,11624,0,0,14020,7959472,Brookwood Elementary Virginia Beach City Public Schools
Frank W. Cox High,Virginia Beach City Public Schools,1655.47,1246,11506,0,0,12752,21110686,Frank W. Cox High Virginia Beach City Public Schools
Trantwood Elementary,Virginia Beach City Public Schools,515.69,1307,12068,0,0,13376,6897859,Trantwood Elementary Virginia Beach City Public Schools
First Colonial High,Virginia Beach City Public Schools,1774.39,1175,11092,0,0,12268,21767978,First Colonial High Virginia Beach City Public Schools
Corporate Landing Elementary,Virginia Beach City Public Schools,405.41,1638,14926,0,0,16564,6715399,Corporate Landing Elementary Virginia Beach City Public Schools
Hermitage Elementary,Virginia Beach City Public Schools,488.79,1545,12494,0,0,14039,6862147,Hermitage Elementary Virginia Beach City Public Schools
Bayside Elementary,Virginia Beach City Public Schools,489.35,2985,12897,0,0,15883,7772255,Bayside Elementary Virginia Beach City Public Schools
Bayside High,Virginia Beach City Public Schools,1934.37,1197,10512,0,0,11709,22649060,Bayside High Virginia Beach City Public Schools
Pembroke Meadows Elementary,Virginia Beach City Public Schools,486.39,1509,11928,0,0,13438,6535965,Pembroke Meadows Elementary Virginia Beach City Public Schools
Green Run High,Virginia Beach City Public Schools,1460.73,1419,11255,0,0,12674,18513499,Green Run High Virginia Beach City Public Schools
North Landing Elementary,Virginia Beach City Public Schools,454.25,1214,12525,0,0,13740,6241241,North Landing Elementary Virginia Beach City Public Schools
Princess Anne Elementary,Virginia Beach City Public Schools,652.55,1772,11567,0,0,13339,8704424,Princess Anne Elementary Virginia Beach City Public Schools
Creeds Elementary,Virginia Beach City Public Schools,306.01,1410,14184,0,0,15594,4771867,Creeds Elementary Virginia Beach City Public Schools
Williams Elementary,Virginia Beach City Public Schools,432.04,3087,12462,0,0,15550,6718201,Williams Elementary Virginia Beach City Public Schools
Pembroke Elementary,Virginia Beach City Public Schools,490.87,1714,15723,0,0,17438,8559791,Pembroke Elementary Virginia Beach City Public Schools
Princess Anne High,Virginia Beach City Public Schools,1683.26,2592,11671,0,0,14264,24009570,Princess Anne High Virginia Beach City Public Schools
Arrowhead Elementary,Virginia Beach City Public Schools,519.12,1961,11496,0,0,13457,6985770,Arrowhead Elementary Virginia Beach City Public Schools
Centerville Elementary,Virginia Beach City Public Schools,641.11,1394,10889,0,0,12283,7874763,Centerville Elementary Virginia Beach City Public Schools
Tallwood Elementary,Virginia Beach City Public Schools,572.27,1231,12199,0,0,13431,7685952,Tallwood Elementary Virginia Beach City Public Schools
Birdneck Elementary,Virginia Beach City Public Schools,612.61,2608,12172,0,0,14781,9054932,Birdneck Elementary Virginia Beach City Public Schools
Thalia Elementary,Virginia Beach City Public Schools,534.31,1486,12573,0,0,14059,7511904,Thalia Elementary Virginia Beach City Public Schools
Kempsville Middle,Virginia Beach City Public Schools,786.53,1255,11931,0,0,13186,10371358,Kempsville Middle Virginia Beach City Public Schools
Fairfield Elementary,Virginia Beach City Public Schools,510.46,1298,12033,0,0,13331,6804957,Fairfield Elementary Virginia Beach City Public Schools
Bayside 6th Grade Campus,Virginia Beach City Public Schools,355.66,2699,14986,0,0,17685,6289951,Bayside 6th Grade Campus Virginia Beach City Public Schools
Kempsville Meadows Elementary,Virginia Beach City Public Schools,473.54,2016,11960,0,0,13976,6618277,Kempsville Meadows Elementary Virginia Beach City Public Schools
Kempsville High,Virginia Beach City Public Schools,1896.44,1305,10303,0,0,11608,22014387,Kempsville High Virginia Beach City Public Schools
College Park Elementary,Virginia Beach City Public Schools,486.64,2538,12865,0,0,15404,7496063,College Park Elementary Virginia Beach City Public Schools
White Oaks Elementary,Virginia Beach City Public Schools,637.88,1620,12046,0,0,13666,8717013,White Oaks Elementary Virginia Beach City Public Schools
Seatack Elementary an Achievable Dream Academy,Virginia Beach City Public Schools,367.03,2734,15726,0,0,18460,6775461,Seatack Elementary an Achievable Dream Academy Virginia Beach City Public Schools
Corporate Landing Middle,Virginia Beach City Public Schools,1072.7,1529,12765,0,0,14295,15334130,Corporate Landing Middle Virginia Beach City Public Schools
Malibu Elementary,Virginia Beach City Public Schools,379.4,2001,13032,0,0,15033,5703472,Malibu Elementary Virginia Beach City Public Schools
Ocean Lakes High,Virginia Beach City Public Schools,1915.3,1145,11588,0,0,12733,24387686,Ocean Lakes High Virginia Beach City Public Schools
Red Mill Elementary,Virginia Beach City Public Schools,596.85,1343,11084,0,0,12427,7416932,Red Mill Elementary Virginia Beach City Public Schools
Rosemont Elementary,Virginia Beach City Public Schools,437.25,2511,13550,0,0,16062,7023062,Rosemont Elementary Virginia Beach City Public Schools
Woodstock Elementary,Virginia Beach City Public Schools,657.5,1285,12154,0,0,13440,8836557,Woodstock Elementary Virginia Beach City Public Schools
Larkspur Middle,Virginia Beach City Public Schools,1554.46,1592,10328,0,0,11921,18530898,Larkspur Middle Virginia Beach City Public Schools
Independence Middle,Virginia Beach City Public Schools,1187.39,1260,11472,0,0,12732,15117974,Independence Middle Virginia Beach City Public Schools
Providence Elementary,Virginia Beach City Public Schools,541.37,1315,12828,0,0,14144,7657185,Providence Elementary Virginia Beach City Public Schools
Ocean Lakes Elementary,Virginia Beach City Public Schools,567.81,1846,11099,0,0,12945,7350201,Ocean Lakes Elementary Virginia Beach City Public Schools
Green Run Collegiate,Virginia Beach City Public Schools,374.13,1017,13744,0,0,14762,5522775,Green Run Collegiate Virginia Beach City Public Schools
Salem Middle,Virginia Beach City Public Schools,1109.23,1219,10873,0,0,12093,13413856,Salem Middle Virginia Beach City Public Schools
Lynnhaven Elementary,Virginia Beach City Public Schools,370.74,3024,14280,0,0,17304,6415166,Lynnhaven Elementary Virginia Beach City Public Schools
Glenwood Elementary,Virginia Beach City Public Schools,974.13,1266,10984,0,0,12251,11933622,Glenwood Elementary Virginia Beach City Public Schools
Cople Elementary,Westmoreland County Public Schools,334.33,1003,10826,1151,3798,16779,5609620,Cople Elementary Westmoreland County Public Schools
Montross Middle,Westmoreland County Public Schools,323.5,499,11225,1151,3798,16674,5393958,Montross Middle Westmoreland County Public Schools
Westmoreland High,Westmoreland County Public Schools,462.93,178,9639,1151,3798,14767,6836147,Westmoreland High Westmoreland County Public Schools
Washington District Elementary,Westmoreland County Public Schools,373.77,1155,9821,1151,3798,15926,5952564,Washington District Elementary Westmoreland County Public Schools
Clark Elementary,Charlottesville City Public Schools,323.75,1827,12781,263,5172,20043,6488808,Clark Elementary Charlottesville City Public Schools
Walker Upper Elementary,Charlottesville City Public Schools,615.71,415,12323,263,5172,18172,11188600,Walker Upper Elementary Charlottesville City Public Schools
Buford Middle,Charlottesville City Public Schools,585.77,259,11931,263,5172,17624,10323520,Buford Middle Charlottesville City Public Schools
Jackson-Via Elementary,Charlottesville City Public Schools,325.35,1226,12714,263,5172,19374,6303196,Jackson-Via Elementary Charlottesville City Public Schools
Venable Elementary,Charlottesville City Public Schools,286.21,457,13479,263,5172,19370,5544013,Venable Elementary Charlottesville City Public Schools
Burnley-Moran Elementary,Charlottesville City Public Schools,328.09,480,13151,263,5172,19065,6255128,Burnley-Moran Elementary Charlottesville City Public Schools
Greenbrier Elementary,Charlottesville City Public Schools,284.75,1194,14173,263,5172,20801,5923172,Greenbrier Elementary Charlottesville City Public Schools
Charlottesville High,Charlottesville City Public Schools,1212.52,110,11580,263,5172,17123,20762547,Charlottesville High Charlottesville City Public Schools
Johnson Elementary,Charlottesville City Public Schools,300.86,1669,12643,263,5172,19746,5940820,Johnson Elementary Charlottesville City Public Schools
Georgie D. Tyler Middle,Isle of Wight County Public Schools,375.28,73,7652,690,3907,12322,4624060,Georgie D. Tyler Middle Isle of Wight County Public Schools
Hardy Elementary,Isle of Wight County Public Schools,531.11,976,6856,690,3907,12428,6600855,Hardy Elementary Isle of Wight County Public Schools
Smithfield High,Isle of Wight County Public Schools,1279.01,104,6448,690,3907,11148,14258649,Smithfield High Isle of Wight County Public Schools
Smithfield Middle,Isle of Wight County Public Schools,624.71,179,6593,690,3907,11369,7102151,Smithfield Middle Isle of Wight County Public Schools
Westside Elementary,Isle of Wight County Public Schools,727.62,10,7690,690,3907,12296,8947071,Westside Elementary Isle of Wight County Public Schools
Windsor Elementary,Isle of Wight County Public Schools,605.11,978,7079,690,3907,12654,7657043,Windsor Elementary Isle of Wight County Public Schools
Windsor High,Isle of Wight County Public Schools,525.21,27,8421,690,3907,13045,6851355,Windsor High Isle of Wight County Public Schools
Carrollton Elementary,Isle of Wight County Public Schools,638.06,412,6975,690,3907,11983,7646113,Carrollton Elementary Isle of Wight County Public Schools
Carrsville Elementary,Isle of Wight County Public Schools,243.91,651,8813,690,3907,14061,3429718,Carrsville Elementary Isle of Wight County Public Schools
Prince Edward County High,Prince Edward County Public Schools,551.21,303,9220,1662,3994,15179,8366619,Prince Edward County High Prince Edward County Public Schools
Prince Edward Elementary,Prince Edward County Public Schools,781.14,1815,6360,1662,3994,13831,10803687,Prince Edward Elementary Prince Edward County Public Schools
Prince Edward Middle,Prince Edward County Public Schools,543.49,480,5511,1662,3994,11646,6329726,Prince Edward Middle Prince Edward County Public Schools
South Elementary,Prince George County Public Schools,486.21,501,8094,692,2574,11860,5766637,South Elementary Prince George County Public Schools
L.L. Beazley Elementary,Prince George County Public Schools,623.15,872,6890,692,2574,11028,6871841,L.L. Beazley Elementary Prince George County Public Schools
Prince George High,Prince George County Public Schools,1717.83,666,6944,692,2574,10875,18681847,Prince George High Prince George County Public Schools
North Elementary,Prince George County Public Schools,754.87,1003,6064,692,2574,10332,7799633,North Elementary Prince George County Public Schools
David A. Harrison Elementary,Prince George County Public Schools,519.41,751,8617,692,2574,12633,6561656,David A. Harrison Elementary Prince George County Public Schools
Colonial Heights High,Colonial Heights City Public Schools,783.12,690,10091,428,3410,14619,11448094,Colonial Heights High Colonial Heights City Public Schools
Colonial Heights Middle,Colonial Heights City Public Schools,648.6,737,8531,428,3410,13106,8500526,Colonial Heights Middle Colonial Heights City Public Schools
Lakeview Elementary,Colonial Heights City Public Schools,390.96,1001,10574,428,3410,15413,6025981,Lakeview Elementary Colonial Heights City Public Schools
Tussing Elementary,Colonial Heights City Public Schools,594.29,557,9165,428,3410,13559,8058106,Tussing Elementary Colonial Heights City Public Schools
North Elementary,Colonial Heights City Public Schools,319.27,1103,10740,428,3410,15681,5006406,North Elementary Colonial Heights City Public Schools
King & Queen Elementary,King and Queen County Public Schools,289.41,1714,6757,336,4890,13697,3963913,King & Queen Elementary King and Queen County Public Schools
Lawson-Marriott Elementary,King and Queen County Public Schools,300.49,1485,7860,336,4890,14571,4378298,Lawson-Marriott Elementary King and Queen County Public Schools
Central High,King and Queen County Public Schools,260.74,844,10638,336,4890,16708,4356445,Central High King and Queen County Public Schools
Northumberland Elementary,Northumberland County Public Schools,533.74,1044,9352,733,5413,16542,8829313,Northumberland Elementary Northumberland County Public Schools
Northumberland High,Northumberland County Public Schools,363.3,548,10665,733,5413,17360,6307023,Northumberland High Northumberland County Public Schools
Northumberland Middle,Northumberland County Public Schools,277.4,254,9222,733,5413,15622,4333471,Northumberland Middle Northumberland County Public Schools
Bristow Run Elementary,Prince William County Public Schools,662.4,398,9031,571,3640,13640,9035094,Bristow Run Elementary Prince William County Public Schools
Cedar Point Elementary,Prince William County Public Schools,502.33,817,10364,571,3640,15392,7731777,Cedar Point Elementary Prince William County Public Schools
Chris Yung Elementary,Prince William County Public Schools,778.56,150,8267,571,3640,12628,9831773,Chris Yung Elementary Prince William County Public Schools
E.H. Marsteller Middle,Prince William County Public Schools,1206.06,535,9158,571,3640,13904,16768998,E.H. Marsteller Middle Prince William County Public Schools
Piney Branch Elementary,Prince William County Public Schools,766.89,433,8267,571,3640,12910,9900784,Piney Branch Elementary Prince William County Public Schools
Victory Elementary,Prince William County Public Schools,670.05,480,8632,571,3640,13323,8927220,Victory Elementary Prince William County Public Schools
A. Henderson Elementary,Prince William County Public Schools,800.97,216,7404,571,3640,11831,9476229,A. Henderson Elementary Prince William County Public Schools
Covington-Harper Elementary,Prince William County Public Schools,823.82,524,7333,571,3640,12068,9941898,Covington-Harper Elementary Prince William County Public Schools
Dumfries Elementary,Prince William County Public Schools,460.79,1298,10087,571,3640,15597,7186750,Dumfries Elementary Prince William County Public Schools
Potomac High,Prince William County Public Schools,1972.96,275,9129,571,3640,13615,26861901,Potomac High Prince William County Public Schools
Potomac Middle,Prince William County Public Schools,892.67,298,10209,571,3640,14718,13138106,Potomac Middle Prince William County Public Schools
Potomac Shores Middle,Prince William County Public Schools,1095.55,408,8225,571,3640,12844,14071246,Potomac Shores Middle Prince William County Public Schools
Swans Creek Elementary,Prince William County Public Schools,612.94,972,8878,571,3640,14062,8618982,Swans Creek Elementary Prince William County Public Schools
George P. Mullen Elementary,Prince William County Public Schools,717.52,861,9436,571,3640,14508,10409704,George P. Mullen Elementary Prince William County Public Schools
Suella G. Ellis Elementary,Prince William County Public Schools,465.68,1705,10623,571,3640,16539,7701926,Suella G. Ellis Elementary Prince William County Public Schools
West Gate Elementary,Prince William County Public Schools,593.73,1294,10411,571,3640,15916,9450022,West Gate Elementary Prince William County Public Schools
Bennett Elementary,Prince William County Public Schools,712,263,9028,571,3640,13502,9613508,Bennett Elementary Prince William County Public Schools
Pennington Traditional,Prince William County Public Schools,648.08,655,7769,571,3640,12634,8188026,Pennington Traditional Prince William County Public Schools
Loch Lomond Elementary,Prince William County Public Schools,550.53,1501,10220,571,3640,15932,8771123,Loch Lomond Elementary Prince William County Public Schools
Osbourn Park High,Prince William County Public Schools,2750.22,160,7982,571,3640,12353,33974171,Osbourn Park High Prince William County Public Schools
Ashland Elementary,Prince William County Public Schools,791.63,299,8009,571,3640,12520,9910872,Ashland Elementary Prince William County Public Schools
Charles J. Colgan Sr. High,Prince William County Public Schools,2839.53,171,8147,571,3640,12529,35577473,Charles J. Colgan Sr. High Prince William County Public Schools
Coles Elementary,Prince William County Public Schools,401.35,606,10945,571,3640,15763,6326481,Coles Elementary Prince William County Public Schools
