Division Name,School Name,percentage_foster_care
Fairfax County,Poe Middle,0.001148105625717566
Fairfax County,Poplar Tree Elementary,0.0
Fairfax County,Powell Elementary,0.0
Fairfax County,Providence Elementary,0.0
Fairfax County,Ravensworth Elementary,0.0016666666666666668
Fairfax County,Riverside Elementary,0.0
Fairfax County,Robinson Secondary,1.0
Fairfax County,Rocky Run Middle,
Fairfax County,Rolling Valley Elementary,0.005154639175257732
Fairfax County,Rose Hill Elementary,0.0
Fairfax County,Sandburg Middle,1.0
Fairfax County,Sangster Elementary,0.0
Fairfax County,Saratoga Elementary,0.0033333333333333335
Fairfax County,Sherman Elementary,0.0
Fairfax County,Shrevewood Elementary,0.0
Fairfax County,Silverbrook Elementary,0.0
Fairfax County,Sleepy Hollow Elementary,0.0
Fairfax County,South County High,1.0
Fairfax County,South County Middle,0.004106776180698152
Fairfax County,South Lakes High,1.0
Fairfax County,Spring Hill Elementary,0.0
Fairfax County,Springfield Estates Elementary,0.0
Fairfax County,Stenwood Elementary,0.0
Fairfax County,Stone Middle,0.0
Fairfax County,Stratford Landing Elementary,0.0
Fairfax County,Sunrise Valley Elementary,0.0
Fairfax County,Terra Centre Elementary,0.0
Fairfax County,Terraset Elementary,0.00505902192242833
Fairfax County,Thomas Jefferson High for Science and Technology,
Fairfax County,Thoreau Middle,
Fairfax County,Timber Lane Elementary,0.0016556291390728477
Fairfax County,Twain Middle,1.0
Fairfax County,Union Mill Elementary,0.0011534025374855825
Fairfax County,Vienna Elementary,0.0
Fairfax County,Virginia Hills Early Childhood Resource Center,0.0
Fairfax County,Virginia Run Elementary,0.0
Fairfax County,Wakefield Forest Elementary,0.0
Fairfax County,Waples Mill Elementary,0.0
Fairfax County,Washington Mill Elementary,0.0
Fairfax County,Waynewood Elementary,0.0
Fairfax County,West Potomac High,1.0
Fairfax County,West Springfield Elementary,0.0
Fairfax County,West Springfield High,1.0
Fairfax County,Westbriar Elementary,0.0
Fairfax County,Westfield High,1.0
Fairfax County,Westgate Elementary,0.0
Fairfax County,Westlawn Elementary,0.0
Fairfax County,Weyanoke Elementary,0.0
Fairfax County,White Oaks Elementary,0.0
Fairfax County,Whitman Middle,0.003409090909090909
Fairfax County,Willow Springs Elementary,0.0
Fairfax County,Wolftrap Elementary,0.0
Fairfax County,Woodburn Elementary,0.0
Fairfax County,Woodlawn Elementary,0.00404040404040404
Fairfax County,Woodley Hills Elementary,0.00199203187250996
Fairfax County,Woodson High,1.0
Falls Church City,Jessie Thackrey  Preschool,0.0
Falls Church City,Mary Ellen Henderson Middle,0.0
Falls Church City,Meridian High,0.002355712603062426
Falls Church City,Mount Daniel Elementary,0.00205761316872428
Falls Church City,Oak Street Elementary,0.0
Fauquier County,Auburn Middle,0.0
Fauquier County,C. Hunter Ritchie Elementary,0.0020408163265306124
Fauquier County,C.M. Bradley Elementary,0.0
