Division Name,School Name,percentage_male
Fairfax County,Garfield Elementary,0.478125
Fairfax County,Glasgow Middle,0.5277475516866159
Fairfax County,Glen Forest Elementary,0.5233219567690558
Fairfax County,Graham Road Elementary,0.5478036175710594
Fairfax County,Great Falls Elementary,0.5314285714285715
Fairfax County,Greenbriar East Elementary,0.5032679738562091
Fairfax County,Greenbriar West Elementary,0.48580441640378547
Fairfax County,Groveton Elementary,0.5086321381142098
Fairfax County,Gunston Elementary,0.5223880597014925
Fairfax County,Halley Elementary,0.4924114671163575
Fairfax County,Haycock Elementary,0.49775280898876406
Fairfax County,Hayfield Elementary,0.5196969696969697
Fairfax County,Hayfield Secondary,
Fairfax County,Herndon Elementary,0.5433070866141733
Fairfax County,Herndon High,
Fairfax County,Herndon Middle,0.5232774674115456
Fairfax County,Hollin Meadows Elementary,0.5170178282009724
Fairfax County,Holmes Middle,0.520174482006543
Fairfax County,Hughes Middle,0.5210688591983555
Fairfax County,Hunt Valley Elementary,0.5502248875562219
Fairfax County,Hunters Woods Elementary School for the Arts and Sciences,0.4993197278911565
Fairfax County,Hutchison Elementary,0.47797563261480785
Fairfax County,Hybla Valley Elementary,0.5045045045045045
Fairfax County,Irving Middle,0.5269168026101142
Fairfax County,Island Creek Elementary,0.49295774647887325
Fairfax County,Jackson Middle,0.5300546448087432
Fairfax County,Johnson Middle,0.5479069767441861
Fairfax County,Justice High,
Fairfax County,Keene Mill Elementary,0.5298804780876494
Fairfax County,Kent Gardens Elementary,0.501953125
Fairfax County,Key Center,0.6984126984126984
Fairfax County,Key Middle,0.5194630872483221
Fairfax County,Kilmer Center,0.6037735849056604
Fairfax County,Kilmer Middle,0.5243147656940761
Fairfax County,Kings Glen Elementary,0.4961439588688946
Fairfax County,Kings Park Elementary,0.4813614262560778
Fairfax County,Lake Anne Elementary,0.4689165186500888
Fairfax County,Lake Braddock Secondary,
Fairfax County,Lane Elementary,0.48675034867503486
Fairfax County,Langley High,0.0
Fairfax County,Laurel Hill Elementary,0.547486033519553
Fairfax County,Laurel Ridge Elementary,0.5140664961636828
Fairfax County,Lees Corner Elementary,0.5
Fairfax County,Lemon Road Elementary,0.531496062992126
Fairfax County,Lewis High,0.5275821596244131
Fairfax County,Liberty Middle,0.49848637739656915
Fairfax County,Little Run Elementary,0.5898305084745763
Fairfax County,London Towne Elementary,0.5300261096605744
Fairfax County,Longfellow Middle,0.5130228887134964
Fairfax County,Lorton Station Elementary,0.48408488063660476
Fairfax County,Lynbrook Elementary,0.4915254237288136
Fairfax County,Madison High,
Fairfax County,Mantua Elementary,0.5015906680805938
Fairfax County,Marshall High,0.0
Fairfax County,Marshall Road Elementary,0.5293233082706766
Fairfax County,Mason Crest Elementary,0.5244299674267101
Fairfax County,McLean High,
Fairfax County,McNair Elementary,0.5390199637023594
Fairfax County,McNair Upper Elementary,0.5015974440894568
Fairfax County,Mosaic Elementary,0.5206243032329989
Fairfax County,Mount Eagle Elementary,0.5619335347432024
Fairfax County,Mount Vernon High,0.0
Fairfax County,Mount Vernon Woods Elementary,0.5139573070607554
Fairfax County,Mountain View High,0.5359477124183006
Fairfax County,Navy Elementary,0.5192096597145993
Fairfax County,Newington Forest Elementary,0.512962962962963
Fairfax County,North Springfield Elementary,0.5219298245614035
Fairfax County,Oak Hill Elementary,0.5285505124450952
Fairfax County,Oak View Elementary,0.5153846153846153
Fairfax County,Oakton Elementary,0.5380507343124166
Fairfax County,Oakton High,
Fairfax County,Olde Creek Elementary,0.5191740412979351
Fairfax County,Orange Hunt Elementary,0.47532188841201717
Fairfax County,Parklawn Elementary,0.49385749385749383
Fairfax County,Pimmit Early Childhood Resource Center,0.6923076923076923
Fairfax County,Pine Spring Elementary,0.5064516129032258
Fairfax County,Poe Middle,0.5200918484500574
Fairfax County,Poplar Tree Elementary,0.5324074074074074
Fairfax County,Powell Elementary,0.5175537938844847
Fairfax County,Providence Elementary,0.5322222222222223
Fairfax County,Ravensworth Elementary,0.5333333333333333
Fairfax County,Riverside Elementary,0.5120910384068279
Fairfax County,Robinson Secondary,
Fairfax County,Rocky Run Middle,0.5211822660098522
