Division Name,School Name,percentage_disadvantaged,percentage_english_learners,percentage_foster_care,percentage_male,percentage_homeless,percentage_military,percentage_disabled,free_reduced_lunch_percentage,chronic_absenteeism_rate,cohort_dropout_rate,Bachelors_Percent,Masters_Percent,Doctoral_Percent
Fairfax County,Union Mill Elementary,0.1303344867358708,0.1157125456760048,0.0011534025374855,0.5213379469434832,0.0,0.0299884659746251,0.1176470588235294,0.111,0.0889,,33.0,67.0,0.0
Fairfax County,Vienna Elementary,0.0736543909348441,0.0764705882352941,0.0,0.5637393767705382,0.0,0.036827195467422,0.178470254957507,0.078,0.0692,,26.0,71.0,3.0
Fairfax County,Virginia Hills Early Childhood Resource Center,0.0995260663507109,0.0,0.0,0.6635071090047393,0.0,0.0,1.0,,,,,,
Fairfax County,Virginia Run Elementary,0.4102941176470588,0.3255813953488372,0.0,0.5044117647058823,0.0235294117647058,0.0397058823529411,0.1397058823529411,0.3929999999999999,0.125,,20.0,78.0,2.0
Fairfax County,Wakefield Forest Elementary,0.0743550834597875,0.0752351097178683,0.0,0.5371775417298937,0.0,0.1153262518968133,0.1077389984825493,0.077,0.061,,26.0,74.0,0.0
Fairfax County,Waples Mill Elementary,0.1184210526315789,0.1189591078066914,0.0,0.5119617224880383,0.0,0.0394736842105263,0.1698564593301435,0.099,0.0819,,18.0,81.0,0.0
Fairfax County,Washington Mill Elementary,0.5971223021582733,0.3446327683615819,0.0,0.487410071942446,0.0,0.066546762589928,0.1906474820143885,0.545,0.3114,,42.0,56.0,0.0
Fairfax County,Waynewood Elementary,0.0271903323262839,0.0,0.0,0.5075528700906344,0.0,0.2764350453172205,0.1268882175226586,0.0139999999999999,0.0392,,24.0,75.0,2.0
Fairfax County,West Potomac High,,1.0,1.0,,,1.0,1.0,0.423,0.2847,0.0389,26.0,69.0,3.0
Fairfax County,West Springfield Elementary,0.0815972222222222,0.0684684684684684,0.0,0.53125,0.0,0.2118055555555555,0.1736111111111111,0.09,0.0625,,29.0,70.0,2.0
Fairfax County,West Springfield High,1.0,1.0,1.0,,,1.0,1.0,0.15,0.1086999999999999,0.0093,32.0,65.0,2.0
Fairfax County,Westbriar Elementary,0.0623409669211195,0.1773533424283765,0.0,0.5114503816793893,0.0,0.0305343511450381,0.0839694656488549,0.046,0.0683,,29.0,69.0,2.0
Fairfax County,Westfield High,1.0,1.0,1.0,,1.0,1.0,1.0,0.284,0.1734,0.0302999999999999,24.0,75.0,0.0
Fairfax County,Westgate Elementary,0.3120567375886525,0.3096153846153846,0.0,0.5293072824156305,0.0,0.0177304964539007,0.1542553191489361,0.303,0.1333,,24.0,76.0,0.0
Fairfax County,Westlawn Elementary,0.6944444444444444,0.6103896103896104,0.0,0.5092592592592593,0.0,0.0039682539682539,0.1402116402116402,0.706,0.221,,19.0,79.0,1.0
