School Name,Division Name,Bachelors_Percent,Masters_Percent,Doctoral_Percent
Crossfield Elementary,Fairfax County,22.0,78.0,0.0
Crossroads PreK-8 School,Norfolk City,39.0,60.0,1.0
Crozet Elementary,Albemarle County,33.0,61.0,0.0
Crystal Spring Elementary,Roanoke City,43.0,40.0,0.0
Cub Run Elementary,Fairfax County,31.0,69.0,0.0
Cub Run Elementary,Rockingham County,57.0,43.0,0.0
Culpeper County High,Culpeper County,48.0,48.0,3.0
Culpeper Middle,Culpeper County,57.0,34.0,2.0
Cumberland Elementary,Cumberland County,58.0,40.0,2.0
Cumberland High,Cumberland County,40.0,56.0,2.0
Cumberland Middle,Cumberland County,53.0,48.0,0.0
Cunningham Park Elementary,Fairfax County,31.0,65.0,4.0
D.G. Cooley Elementary,Clarke County,41.0,59.0,0.0
D.J. Montague Elementary,Williamsburg-James City County,38.0,58.0,0.0
Dale City Elementary,Prince William County,40.0,58.0,2.0
Damascus Middle,Washington County,41.0,59.0,0.0
Dan River High,Pittsylvania County,50.0,46.0,0.0
Dan River Middle,Pittsylvania County,61.0,35.0,0.0
Daniel Morgan Intermediate,Winchester City,32.0,53.0,8.0
Daniel Morgan Middle,Winchester City,33.0,65.0,2.0
Daniels Run Elementary,Fairfax County,21.0,77.0,1.0
Dare Elementary,York County,27.0,68.0,3.0
David A. Dutrow Elementary,Newport News City,31.0,66.0,0.0
David A. Harrison Elementary,Prince George County,56.0,33.0,0.0
Deep Creek Central Elementary,Chesapeake City,34.0,63.0,2.0
Deep Creek Elementary,Chesapeake City,36.0,50.0,2.0
Deep Creek High,Chesapeake City,36.0,59.0,2.0
Deep Creek Middle,Chesapeake City,33.0,62.0,0.0
Deep Run High,Henrico County,39.0,57.0,2.0
Deer Park Elementary,Fairfax County,16.0,82.0,2.0
Deer Park Elementary,Newport News City,41.0,41.0,0.0
Denbigh High,Newport News City,32.0,54.0,1.0
Dinwiddie County High,Dinwiddie County,53.0,44.0,2.0
Dinwiddie County Middle,Dinwiddie County,56.0,42.0,0.0
Dinwiddie Elementary,Dinwiddie County,51.0,49.0,0.0
Discovery Elementary,Arlington County,16.0,78.0,4.0
Discovery Elementary,Loudoun County,27.0,71.0,0.0
Discovery STEM Academy,Newport News City,36.0,55.0,0.0
Dogwood Elementary,Fairfax County,28.0,72.0,0.0
Dominion High,Loudoun County,22.0,72.0,4.0
Dominion Trail Elementary,Loudoun County,37.0,63.0,0.0
Donald B. Dixon-Lyle R. Smith Middle,Stafford County,38.0,57.0,0.0
Dorothy Hamm Middle,Arlington County,23.0,75.0,0.0
Douglas MacArthur Elementary,Alexandria City,26.0,71.0,3.0
Douglas S. Freeman High,Henrico County,29.0,70.0,0.0
Douglass Park Elementary,Portsmouth City,38.0,44.0,3.0
Dr. Charles R. Drew Elementary,Arlington County,27.0,67.0,0.0
Dranesville Elementary,Fairfax County,38.0,63.0,0.0
Drewry Mason Elementary,Henry County,52.0,48.0,0.0
Dryden Elementary,Lee County,50.0,47.0,0.0
Dublin Elementary,Pulaski County,46.0,52.0,2.0
Dudley Elementary,Franklin County,72.0,24.0,0.0
Duffield-Pattonsville Primary,Scott County,68.0,29.0,0.0
Dumbarton Elementary,Henrico County,46.0,51.0,0.0
Dumfries Elementary,Prince William County,41.0,57.0,0.0
Dungannon Elementary School,Scott County,50.0,50.0,0.0
Dupont Elementary,Hopewell City,59.0,38.0,2.0
E. Wilson Morrison Elementary,Warren County,62.0,36.0,0.0
E.B. Stanley Middle,Washington County,44.0,53.0,2.0
E.H. Marsteller Middle,Prince William County,37.0,62.0,1.0
Eagle Ridge Middle,Loudoun County,25.0,74.0,1.0
Eagle Rock Elementary,Botetourt County,41.0,53.0,0.0
Eagle View Elementary,Fairfax County,18.0,80.0,2.0
East Rockingham High,Rockingham County,49.0,48.0,2.0
East Salem Elementary,Salem City,44.0,53.0,0.0
Eastern Montgomery Elementary,Montgomery County,43.0,57.0,0.0
Eastern Montgomery High,Montgomery County,32.0,55.0,2.0
Eastern View High,Culpeper County,51.0,38.0,2.0
Eastside High,Wise County,48.0,48.0,0.0
Echo Lake Elementary,Henrico County,31.0,69.0,0.0
Ecoff Elementary,Chesterfield County,41.0,59.0,0.0
Edison High,Fairfax County,21.0,77.0,2.0
Edward E. Drew Jr. Middle,Stafford County,40.0,55.0,2.0
Edward G. Clymore Elementary,Augusta County,43.0,56.0,0.0
Edward W. Wyatt Middle,Greensville County,54.0,44.0,2.0
Edwin A. Gibson Elementary,Danville City,53.0,44.0,3.0
Edwin W. Chittum Elementary,Chesapeake City,43.0,55.0,0.0
Elephant's Fork Elementary,Suffolk City,35.0,59.0,0.0
Elizabeth D. Redd Elementary,Richmond City,10.0,86.0,3.0
Elizabeth Davis Middle,Chesterfield County,50.0,48.0,1.0
Elizabeth Holladay Elementary,Henrico County,31.0,65.0,0.0
Elizabeth Scott Elementary,Chesterfield County,54.0,45.0,0.0
Elizabeth Vaughan Elementary,Prince William County,42.0,54.0,2.0
Elk Knob Elementary,Lee County,63.0,37.0,0.0
Elko Middle,Henrico County,54.0,37.0,3.0
Elkton Elementary,Rockingham County,32.0,68.0,0.0
Elkton Middle,Rockingham County,48.0,50.0,0.0
Elmont Elementary,Hanover County,30.0,68.0,0.0
Elon Elementary,Amherst County,44.0,53.0,0.0
Elydale Middle,Lee County,60.0,27.0,0.0
Emerald Hill Elementary,Culpeper County,43.0,53.0,2.0
Emerick Elementary,Loudoun County,15.0,85.0,0.0
Enderly Heights Elementary,Buena Vista City,38.0,63.0,0.0
Enon Elementary,Chesterfield County,58.0,40.0,0.0
Enterprise Elementary,Prince William County,50.0,43.0,0.0
Ervinton Elementary,Dickenson County,70.0,25.0,0.0
Escuela Key Elementary,Arlington County,25.0,75.0,0.0
Essex High,Essex County,45.0,53.0,0.0
Ethel M. Gildersleeve Middle,Newport News City,32.0,55.0,2.0
Ettrick Elementary,Chesterfield County,34.0,60.0,4.0
Evendale Elementary,Frederick County,49.0,49.0,2.0
Evergreen Elementary,Chesterfield County,43.0,56.0,0.0
Evergreen Mill Elementary,Loudoun County,26.0,73.0,0.0
Fair Oaks Elementary,Henrico County,34.0,66.0,0.0
Fairfax High,Fairfax County,22.0,75.0,2.0
Fairfax Villa Elementary,Fairfax County,34.0,64.0,0.0
Fairfield Court Elementary,Richmond City,48.0,48.0,4.0
Fairfield Elementary,Rockbridge County,39.0,58.0,0.0
Fairfield Elementary,Virginia Beach City,45.0,45.0,0.0
Fairfield Middle,Henrico County,41.0,53.0,1.0
Fairhill Elementary,Fairfax County,25.0,75.0,0.0
Fairview Elementary,Fairfax County,37.0,61.0,0.0
Fairview Elementary,Grayson County,63.0,33.0,0.0
Fairview Elementary,Roanoke City,61.0,28.0,0.0
Falling Branch Elementary,Montgomery County,48.0,52.0,0.0
Falling Creek Elementary,Chesterfield County,38.0,61.0,0.0
Falling Creek Middle,Chesterfield County,49.0,44.0,2.0
Fallon Park Elementary,Roanoke City,49.0,42.0,0.0
Falls Church High,Fairfax County,21.0,73.0,4.0
Falmouth Elementary,Stafford County,42.0,44.0,2.0
