Division Name,School Name,percentage_disabled
Fairfax County,Haycock Elementary,0.09775280898876404
Fairfax County,Hayfield Elementary,0.13787878787878788
Fairfax County,Hayfield Secondary,1.0
Fairfax County,Herndon Elementary,0.13761467889908258
Fairfax County,Herndon High,1.0
Fairfax County,Herndon Middle,0.22325581395348837
Fairfax County,Hollin Meadows Elementary,0.11507293354943274
Fairfax County,Holmes Middle,0.20065430752453653
Fairfax County,Hughes Middle,0.19364754098360656
Fairfax County,Hunt Valley Elementary,0.1454272863568216
Fairfax County,Hunters Woods Elementary School for the Arts and Sciences,0.10612244897959183
Fairfax County,Hutchison Elementary,0.12089971883786317
Fairfax County,Hybla Valley Elementary,0.13063063063063063
Fairfax County,Irving Middle,1.0
Fairfax County,Island Creek Elementary,0.1591549295774648
Fairfax County,Jackson Middle,0.16120218579234974
Fairfax County,Johnson Middle,0.15348837209302327
Fairfax County,Justice High,1.0
Fairfax County,Keene Mill Elementary,0.10756972111553785
Fairfax County,Kent Gardens Elementary,0.0869140625
Fairfax County,Key Center,1.0
Fairfax County,Key Middle,0.19865771812080538
Fairfax County,Kilmer Center,1.0
Fairfax County,Kilmer Middle,1.0
Fairfax County,Kings Glen Elementary,0.19794344473007713
Fairfax County,Kings Park Elementary,0.13614262560777957
Fairfax County,Lake Anne Elementary,0.14742451154529307
Fairfax County,Lake Braddock Secondary,1.0
Fairfax County,Lane Elementary,0.1297071129707113
Fairfax County,Langley High,1.0
Fairfax County,Laurel Hill Elementary,0.1005586592178771
Fairfax County,Laurel Ridge Elementary,0.17902813299232737
Fairfax County,Lees Corner Elementary,0.15210355987055016
Fairfax County,Lemon Road Elementary,0.1141732283464567
Fairfax County,Lewis High,1.0
Fairfax County,Liberty Middle,0.17860746720484358
Fairfax County,Little Run Elementary,0.24745762711864408
Fairfax County,London Towne Elementary,0.14360313315926893
Fairfax County,Longfellow Middle,1.0
Fairfax County,Lorton Station Elementary,0.11671087533156499
Fairfax County,Lynbrook Elementary,0.15423728813559323
Fairfax County,Madison High,1.0
Fairfax County,Mantua Elementary,0.12725344644750794
Fairfax County,Marshall High,1.0
Fairfax County,Marshall Road Elementary,0.16090225563909774
Fairfax County,Mason Crest Elementary,0.20358306188925082
Fairfax County,McLean High,1.0
Fairfax County,McNair Elementary,0.13611615245009073
Fairfax County,McNair Upper Elementary,0.07507987220447285
Fairfax County,Mosaic Elementary,0.14046822742474915
Fairfax County,Mount Eagle Elementary,0.1540785498489426
Fairfax County,Mount Vernon High,1.0
Fairfax County,Mount Vernon Woods Elementary,0.16420361247947454
Fairfax County,Mountain View High,0.11038961038961038
Fairfax County,Navy Elementary,0.0845225027442371
Fairfax County,Newington Forest Elementary,0.15185185185185185
Fairfax County,North Springfield Elementary,0.2236842105263158
Fairfax County,Oak Hill Elementary,0.15226939970717424
Fairfax County,Oak View Elementary,0.13846153846153847
Fairfax County,Oakton Elementary,0.1348464619492657
Fairfax County,Oakton High,1.0
Fairfax County,Olde Creek Elementary,0.2949852507374631
Fairfax County,Orange Hunt Elementary,0.13412017167381973
Fairfax County,Parklawn Elementary,0.085995085995086
Fairfax County,Pimmit Early Childhood Resource Center,1.0
Fairfax County,Pine Spring Elementary,0.1596774193548387
Fairfax County,Poe Middle,0.20321469575200918
Fairfax County,Poplar Tree Elementary,0.1388888888888889
Fairfax County,Powell Elementary,0.12231030577576443
Fairfax County,Providence Elementary,0.12333333333333334
Fairfax County,Ravensworth Elementary,0.12166666666666667
Fairfax County,Riverside Elementary,0.1678520625889047
Fairfax County,Robinson Secondary,1.0
Fairfax County,Rocky Run Middle,0.07964601769911504
Fairfax County,Rolling Valley Elementary,0.14948453608247422
Fairfax County,Rose Hill Elementary,0.21879815100154082
Fairfax County,Sandburg Middle,1.0
Fairfax County,Sangster Elementary,0.11312217194570136
