Division Name,School Name,percentage_disadvantaged,percentage_english_learners,percentage_foster_care,percentage_male,percentage_homeless,percentage_military,percentage_disabled,free_reduced_lunch_percentage,chronic_absenteeism_rate,cohort_dropout_rate,Bachelors_Percent,Masters_Percent,Doctoral_Percent,SOL Pass Rate,School_Level_Expenditures_Per_Pupil_Federal,School_Level_Expenditures_Per_Pupil_State,Division_Level_Expenditures_Per_Pupil_Federal,Division_Level_Expenditures_Per_Pupil_State,Total_Per_Pupil_Expenditures,Total_Expenditures
Prince William County,Ashland Elementary,0.1530612244897959,0.0639686684073107,0.0,0.5287356321839081,0.0,0.1479591836734693,0.1301020408163265,0.134,0.0983,,46.0,52.0,0.0,0.8025,583.0,7824.0,571.0,3640.0,12618.0,10215349.0
Arlington County,Ashlawn Elementary,0.1814814814814815,0.1931166347992352,0.0018518518518518,0.5518518518518518,0.0,0.0425925925925925,0.1259259259259259,0.157,0.0286,,18.0,80.0,0.0,0.88,0.0,11954.0,968.0,7589.0,20512.0,11086929.0
Smyth County,Atkins Elementary,0.7109826589595376,0.0,0.0115606936416184,0.5375722543352601,0.0,0.0,0.2138728323699422,0.758,0.2671,,59.0,32.0,5.0,0.5975,1409.0,7582.0,591.0,2766.0,12349.0,2172062.0
Hanover County,Atlee High,1.0,1.0,1.0,0.5438027255029202,,1.0,1.0,0.108,0.0604,0.0260999999999999,27.0,69.0,2.0,0.86,446.0,9387.0,66.0,2256.0,12155.0,6332570.0
Montgomery County,Auburn Elementary,0.4627949183303085,0.0,0.0036297640653357,0.5190562613430127,0.0,0.0254083484573502,0.0943738656987295,0.4639999999999999,0.0938,,55.0,45.0,0.0,0.6525,155.0,10869.0,175.0,3854.0,15054.0,5545959.0
Montgomery County,Auburn High,0.3512064343163539,0.0,0.0,0.5281501340482574,0.0,0.0160857908847185,0.1206434316353887,0.341,0.2192,0.0206,24.0,70.0,2.0,0.748,913.0,8948.0,175.0,3854.0,13890.0,3725223.0
Fauquier County,Auburn Middle,0.1023890784982935,0.0,0.0,0.5307167235494881,0.0,0.0085324232081911,0.1296928327645051,0.125,0.1022,,43.0,53.0,2.0,0.68,0.0,10881.0,641.0,3870.0,15391.0,18409678.0
Montgomery County,Auburn Middle,0.46875,0.0,0.0,0.5381944444444444,0.0,0.0243055555555555,0.1979166666666666,0.474,0.1389,,63.0,33.0,3.0,0.59,1140.0,10226.0,175.0,3854.0,15395.0,6071210.0
Henry County,Axton Elementary,0.6243386243386243,0.1420911528150134,0.0052910052910052,0.5079365079365079,0.0,0.0211640211640211,0.1137566137566137,0.8859999999999999,0.1261,,63.0,37.0,0.0,0.675,1766.0,8555.0,346.0,3501.0,14168.0,3206404.0
Norfolk City,Azalea Gardens Middle,0.5806451612903226,0.0569696969696969,0.0023041474654377,0.521889400921659,0.0,0.1774193548387097,0.1394009216589861,0.652,0.3506,,31.0,52.0,5.0,0.49200000000000005,2674.0,11684.0,645.0,3545.0,18547.0,4414258.0
Newport News City,B.C. Charles Elementary,0.4621621621621621,0.0380434782608695,0.0,0.5405405405405406,0.0,0.1135135135135135,0.1837837837837838,,,,,,,,,,,,,
Chesapeake City,B.M. Williams Primary,0.4642857142857143,0.0428736964078794,0.0011520737327188,0.5264976958525346,0.0,0.2096774193548387,0.1785714285714285,,,,,,,,,,,,,
Newport News City,B.T. Washington Middle,0.4110576923076923,0.0,0.0,0.4399038461538461,0.0,0.09375,0.0769230769230769,,,,,,,,,,,,,
Roanoke County,Back Creek Elementary,0.2253521126760563,0.0,0.0,0.5246478873239436,0.0,0.0070422535211267,0.1971830985915492,0.203,0.0706,,50.0,46.0,0.0,0.8875,445.0,8328.0,193.0,2984.0,11950.0,9699542.0
Charlotte County,Bacon District Elementary,0.625,0.0,0.0,0.56875,0.0,0.0125,0.125,0.619,0.2307999999999999,,,,,0.745,788.0,6045.0,957.0,4363.0,12154.0,5247528.0
