School,Division,Poverty_Level,Title1_Code,Percent_of_Inexperienced_Teachers,Percent_of_Out_of_Field_Teachers,Percent_of_Out_of_Field_and_Inexperienced_Teachers,Sch_Div
Locust Grove Elementary,Orange County Public Schools,Medium Poverty,Non-Title I,5.7,11.4,5.7,Locust Grove Elementary Orange County Public Schools
Locust Grove Middle,Orange County Public Schools,Medium Poverty,Non-Title I,18.2,21.8,5.5,Locust Grove Middle Orange County Public Schools
Gordon-Barbour Elementary,Orange County Public Schools,Medium Poverty,Title I,0,6.3,0,Gordon-Barbour Elementary Orange County Public Schools
Lightfoot Elementary,Orange County Public Schools,Medium Poverty,Title I,18.5,14.8,14.8,Lightfoot Elementary Orange County Public Schools
Poquoson Elementary,Poquoson City Public Schools,Low Poverty,Title I,8.8,8.8,5.9,Poquoson Elementary Poquoson City Public Schools
Poquoson Middle,Poquoson City Public Schools,Low Poverty,Non-Title I,7.5,7.5,0,Poquoson Middle Poquoson City Public Schools
Poquoson High,Poquoson City Public Schools,Low Poverty,Non-Title I,3.3,3.3,1.6,Poquoson High Poquoson City Public Schools
Arthur R. Ware Elementary,Staunton City Public Schools,Medium Poverty,Title I,3.1,3.1,0,Arthur R. Ware Elementary Staunton City Public Schools
Thomas C. McSwain Elementary,Staunton City Public Schools,Medium Poverty,Title I,3.3,0,0,Thomas C. McSwain Elementary Staunton City Public Schools
Staunton High,Staunton City Public Schools,Medium Poverty,Non-Title I,1.6,3.2,0,Staunton High Staunton City Public Schools
Shelburne Middle,Staunton City Public Schools,High Poverty,Non-Title I,8.7,10.9,2.2,Shelburne Middle Staunton City Public Schools
Bessie Weller Elementary,Staunton City Public Schools,Medium Poverty,Title I,6.7,6.7,0,Bessie Weller Elementary Staunton City Public Schools
Sussex Central High,Sussex County Public Schools,High Poverty,Non-Title I,4.5,6.8,0,Sussex Central High Sussex County Public Schools
Sussex Central Elementary,Sussex County Public Schools,High Poverty,Title I,4.4,4.4,0,Sussex Central Elementary Sussex County Public Schools
Sussex Central Middle,Sussex County Public Schools,High Poverty,Title I,0,11.1,0,Sussex Central Middle Sussex County Public Schools
E. Wilson Morrison Elementary,Warren County Public Schools,High Poverty,Title I,19.6,6.5,0,E. Wilson Morrison Elementary Warren County Public Schools
Hilda J. Barbour Elementary,Warren County Public Schools,Medium Poverty,Title I,2.4,7.3,2.4,Hilda J. Barbour Elementary Warren County Public Schools
Leslie Fox Keyser Elementary,Warren County Public Schools,Medium Poverty,Title I,5,2.5,2.5,Leslie Fox Keyser Elementary Warren County Public Schools
Ressie Jeffries Elementary,Warren County Public Schools,Medium Poverty,Title I,6.7,4.4,0,Ressie Jeffries Elementary Warren County Public Schools
Skyline High,Warren County Public Schools,Medium Poverty,Non-Title I,6.5,9.1,1.3,Skyline High Warren County Public Schools
Skyline Middle,Warren County Public Schools,Medium Poverty,Non-Title I,18.6,15.3,5.1,Skyline Middle Warren County Public Schools
Warren County High,Warren County Public Schools,Medium Poverty,Non-Title I,6.1,9.8,2.4,Warren County High Warren County Public Schools
Warren County Middle,Warren County Public Schools,Medium Poverty,Non-Title I,4.9,8.2,0,Warren County Middle Warren County Public Schools
A.S. Rhodes Elementary,Warren County Public Schools,Medium Poverty,Non-Title I,8,4,4,A.S. Rhodes Elementary Warren County Public Schools
Amherst County High,Amherst County Public Schools,Medium Poverty,Non-Title I,7.3,5.2,1,Amherst County High Amherst County Public Schools
Amherst Elementary,Amherst County Public Schools,Medium Poverty,Title I,0,0,0,Amherst Elementary Amherst County Public Schools
Amherst Middle,Amherst County Public Schools,Medium Poverty,Non-Title I,2.4,2.4,0,Amherst Middle Amherst County Public Schools
Central Elementary,Amherst County Public Schools,High Poverty,Title I,2.4,0,0,Central Elementary Amherst County Public Schools
Temperance Elementary,Amherst County Public Schools,Medium Poverty,Title I,5.9,0,0,Temperance Elementary Amherst County Public Schools
Amelon Elementary,Amherst County Public Schools,Medium Poverty,Title I,9.8,2.4,0,Amelon Elementary Amherst County Public Schools
Madison Heights Elementary,Amherst County Public Schools,High Poverty,Title I,7.3,2.4,2.4,Madison Heights Elementary Amherst County Public Schools
Monelison Middle,Amherst County Public Schools,Medium Poverty,Non-Title I,10.9,3.6,0,Monelison Middle Amherst County Public Schools
Elon Elementary,Amherst County Public Schools,Medium Poverty,Title I,6.9,0,0,Elon Elementary Amherst County Public Schools
Buffalo Gap High,Augusta County Public Schools,Medium Poverty,Non-Title I,3.8,0,0,Buffalo Gap High Augusta County Public Schools
Beverley Manor Middle,Augusta County Public Schools,Medium Poverty,Non-Title I,7,5.3,3.5,Beverley Manor Middle Augusta County Public Schools
Riverheads Elementary,Augusta County Public Schools,Medium Poverty,Title I,0,4.2,0,Riverheads Elementary Augusta County Public Schools
Riverheads High,Augusta County Public Schools,Medium Poverty,Non-Title I,6.7,4.4,0,Riverheads High Augusta County Public Schools
Churchville Elementary,Augusta County Public Schools,Medium Poverty,Title I,0,3.1,0,Churchville Elementary Augusta County Public Schools
Wilson Memorial High,Augusta County Public Schools,Medium Poverty,Non-Title I,3.8,8.9,1.3,Wilson Memorial High Augusta County Public Schools
Wilson Middle,Augusta County Public Schools,Medium Poverty,Non-Title I,3.7,11.1,0,Wilson Middle Augusta County Public Schools
Edward G. Clymore Elementary,Augusta County Public Schools,Medium Poverty,Title I,9.8,2,2,Edward G. Clymore Elementary Augusta County Public Schools
Fort Defiance High,Augusta County Public Schools,Low Poverty,Non-Title I,2.9,1.4,0,Fort Defiance High Augusta County Public Schools
S. Gordon Stewart Middle,Augusta County Public Schools,Medium Poverty,Non-Title I,3.9,3.9,2,S. Gordon Stewart Middle Augusta County Public Schools
Guy K. Stump Elementary,Augusta County Public Schools,Medium Poverty,Title I,3.2,0,0,Guy K. Stump Elementary Augusta County Public Schools
Stuarts Draft High,Augusta County Public Schools,Medium Poverty,Non-Title I,3.1,3.1,0,Stuarts Draft High Augusta County Public Schools
Stuarts Draft Middle,Augusta County Public Schools,Medium Poverty,Non-Title I,2.3,2.3,0,Stuarts Draft Middle Augusta County Public Schools
Wilson Elementary,Augusta County Public Schools,Medium Poverty,Title I,6.4,4.3,2.1,Wilson Elementary Augusta County Public Schools
Cassell Elementary,Augusta County Public Schools,Medium Poverty,Title I,0,0,0,Cassell Elementary Augusta County Public Schools
Craigsville Elementary,Augusta County Public Schools,High Poverty,Title I,0,0,0,Craigsville Elementary Augusta County Public Schools
North River Elementary,Augusta County Public Schools,Medium Poverty,Title I,8.3,0,0,North River Elementary Augusta County Public Schools
