School,Division,Degree_Percent,Degree_Type,Sch_Div
D.G. Cooley Elementary,Clarke County Public Schools,41,Bachelor's Degree,D.G. Cooley Elementary Clarke County Public Schools
D.G. Cooley Elementary,Clarke County Public Schools,59,Master's Degree,D.G. Cooley Elementary Clarke County Public Schools
D.G. Cooley Elementary,Clarke County Public Schools,0,Doctoral Degree,D.G. Cooley Elementary Clarke County Public Schools
Johnson-Williams Middle,Clarke County Public Schools,27,Bachelor's Degree,Johnson-Williams Middle Clarke County Public Schools
Johnson-Williams Middle,Clarke County Public Schools,73,Master's Degree,Johnson-Williams Middle Clarke County Public Schools
Johnson-Williams Middle,Clarke County Public Schools,0,Doctoral Degree,Johnson-Williams Middle Clarke County Public Schools
Boyce Elementary,Clarke County Public Schools,52,Bachelor's Degree,Boyce Elementary Clarke County Public Schools
Boyce Elementary,Clarke County Public Schools,48,Master's Degree,Boyce Elementary Clarke County Public Schools
Boyce Elementary,Clarke County Public Schools,0,Doctoral Degree,Boyce Elementary Clarke County Public Schools
G.L.H. Johnson Elementary,Danville City Public Schools,50,Bachelor's Degree,G.L.H. Johnson Elementary Danville City Public Schools
G.L.H. Johnson Elementary,Danville City Public Schools,47,Master's Degree,G.L.H. Johnson Elementary Danville City Public Schools
G.L.H. Johnson Elementary,Danville City Public Schools,0,Doctoral Degree,G.L.H. Johnson Elementary Danville City Public Schools
O. Trent Bonner Middle,Danville City Public Schools,49,Bachelor's Degree,O. Trent Bonner Middle Danville City Public Schools
O. Trent Bonner Middle,Danville City Public Schools,45,Master's Degree,O. Trent Bonner Middle Danville City Public Schools
O. Trent Bonner Middle,Danville City Public Schools,0,Doctoral Degree,O. Trent Bonner Middle Danville City Public Schools
Westwood Middle,Danville City Public Schools,45,Bachelor's Degree,Westwood Middle Danville City Public Schools
Westwood Middle,Danville City Public Schools,40,Master's Degree,Westwood Middle Danville City Public Schools
Westwood Middle,Danville City Public Schools,2,Doctoral Degree,Westwood Middle Danville City Public Schools
Woodberry Hills Elementary,Danville City Public Schools,45,Bachelor's Degree,Woodberry Hills Elementary Danville City Public Schools
Woodberry Hills Elementary,Danville City Public Schools,48,Master's Degree,Woodberry Hills Elementary Danville City Public Schools
Woodberry Hills Elementary,Danville City Public Schools,0,Doctoral Degree,Woodberry Hills Elementary Danville City Public Schools
Edwin A. Gibson Elementary,Danville City Public Schools,53,Bachelor's Degree,Edwin A. Gibson Elementary Danville City Public Schools
Edwin A. Gibson Elementary,Danville City Public Schools,44,Master's Degree,Edwin A. Gibson Elementary Danville City Public Schools
Edwin A. Gibson Elementary,Danville City Public Schools,3,Doctoral Degree,Edwin A. Gibson Elementary Danville City Public Schools
