School,Division,Poverty_Level,Title_1_Code,Provisional_Percent,Sch_Div
Samuel L. Gravely Jr. Elementary,Prince William County Public Schools,Low Poverty,Non-Title I,1.9,Samuel L. Gravely Jr. Elementary Prince William County Public Schools
Brentsville District High,Prince William County Public Schools,Low Poverty,Non-Title I,2.7,Brentsville District High Prince William County Public Schools
The Nokesville School,Prince William County Public Schools,Low Poverty,Non-Title I,3.6,The Nokesville School Prince William County Public Schools
Belmont Elementary,Prince William County Public Schools,Medium Poverty,Title I,18.4,Belmont Elementary Prince William County Public Schools
Elizabeth Vaughan Elementary,Prince William County Public Schools,Medium Poverty,Title I,3.7,Elizabeth Vaughan Elementary Prince William County Public Schools
Featherstone Elementary,Prince William County Public Schools,High Poverty,Title I,6,Featherstone Elementary Prince William County Public Schools
Fred M. Lynn Middle,Prince William County Public Schools,High Poverty,Title I,10.2,Fred M. Lynn Middle Prince William County Public Schools
Marumsco Hills Elementary,Prince William County Public Schools,High Poverty,Title I,1.9,Marumsco Hills Elementary Prince William County Public Schools
Mary G. Porter Traditional,Prince William County Public Schools,Low Poverty,Non-Title I,11.6,Mary G. Porter Traditional Prince William County Public Schools
Potomac View Elementary,Prince William County Public Schools,High Poverty,Title I,3.8,Potomac View Elementary Prince William County Public Schools
R. Dean Kilby Elementary,Prince William County Public Schools,High Poverty,Title I,8.5,R. Dean Kilby Elementary Prince William County Public Schools
Rippon Middle,Prince William County Public Schools,Medium Poverty,Non-Title I,12.6,Rippon Middle Prince William County Public Schools
Woodbridge Middle,Prince William County Public Schools,Medium Poverty,Non-Title I,9,Woodbridge Middle Prince William County Public Schools
Antietam Elementary,Prince William County Public Schools,Medium Poverty,Non-Title I,8.6,Antietam Elementary Prince William County Public Schools
Gar-Field High,Prince William County Public Schools,High Poverty,Non-Title I,11.6,Gar-Field High Prince William County Public Schools
John D. Jenkins Elementary,Prince William County Public Schools,Medium Poverty,Title I,10.5,John D. Jenkins Elementary Prince William County Public Schools
Occoquan Elementary,Prince William County Public Schools,Medium Poverty,Title I,5.9,Occoquan Elementary Prince William County Public Schools
Old Bridge Elementary,Prince William County Public Schools,Low Poverty,Non-Title I,2.6,Old Bridge Elementary Prince William County Public Schools
Bel Air Elementary,Prince William County Public Schools,Medium Poverty,Title I,7,Bel Air Elementary Prince William County Public Schools
C.D. Hylton High,Prince William County Public Schools,Medium Poverty,Non-Title I,3.6,C.D. Hylton High Prince William County Public Schools
Dale City Elementary,Prince William County Public Schools,Medium Poverty,Title I,4.7,Dale City Elementary Prince William County Public Schools
Enterprise Elementary,Prince William County Public Schools,Medium Poverty,Title I,2.6,Enterprise Elementary Prince William County Public Schools
Forest Park High,Prince William County Public Schools,Medium Poverty,Non-Title I,7,Forest Park High Prince William County Public Schools
George M. Hampton Middle,Prince William County Public Schools,High Poverty,Title I,8.5,George M. Hampton Middle Prince William County Public Schools
Kerrydale Elementary,Prince William County Public Schools,Medium Poverty,Title I,17.1,Kerrydale Elementary Prince William County Public Schools
Kyle R. Wilson Elementary,Prince William County Public Schools,Medium Poverty,Non-Title I,4.9,Kyle R. Wilson Elementary Prince William County Public Schools
Neabsco Elementary,Prince William County Public Schools,Medium Poverty,Title I,10.3,Neabsco Elementary Prince William County Public Schools
Rosa Parks Elementary,Prince William County Public Schools,Medium Poverty,Non-Title I,6.4,Rosa Parks Elementary Prince William County Public Schools
Sharon C. McAuliffe Elementary,Prince William County Public Schools,Medium Poverty,Title I,12.5,Sharon C. McAuliffe Elementary Prince William County Public Schools
Sonnie Penn Elementary,Prince William County Public Schools,Low Poverty,Non-Title I,6.4,Sonnie Penn Elementary Prince William County Public Schools
Stuart M. Beville Middle,Prince William County Public Schools,Medium Poverty,Non-Title I,7.4,Stuart M. Beville Middle Prince William County Public Schools
Buckland Mills Elementary,Prince William County Public Schools,Low Poverty,Non-Title I,5.4,Buckland Mills Elementary Prince William County Public Schools
Bull Run Middle,Prince William County Public Schools,Medium Poverty,Non-Title I,5.6,Bull Run Middle Prince William County Public Schools
Gainesville Middle,Prince William County Public Schools,Low Poverty,Non-Title I,6.3,Gainesville Middle Prince William County Public Schools
Glenkirk Elementary,Prince William County Public Schools,Low Poverty,Non-Title I,4.3,Glenkirk Elementary Prince William County Public Schools
Lake Ridge Elementary,Prince William County Public Schools,Medium Poverty,Non-Title I,12,Lake Ridge Elementary Prince William County Public Schools
Patriot High,Prince William County Public Schools,Low Poverty,Non-Title I,1.9,Patriot High Prince William County Public Schools
Rockledge Elementary,Prince William County Public Schools,Medium Poverty,Non-Title I,4.9,Rockledge Elementary Prince William County Public Schools
Minnieville Elementary,Prince William County Public Schools,Medium Poverty,Title I,7.5,Minnieville Elementary Prince William County Public Schools
Lake Ridge Middle,Prince William County Public Schools,Medium Poverty,Non-Title I,9,Lake Ridge Middle Prince William County Public Schools
John F. Pattie Sr. Elementary,Prince William County Public Schools,Medium Poverty,Non-Title I,7.7,John F. Pattie Sr. Elementary Prince William County Public Schools
George G. Tyler Elementary,Prince William County Public Schools,Low Poverty,Non-Title I,0,George G. Tyler Elementary Prince William County Public Schools
Fannie W. Fitzgerald Elementary,Prince William County Public Schools,Medium Poverty,Title I,7.9,Fannie W. Fitzgerald Elementary Prince William County Public Schools
Sudley Elementary,Prince William County Public Schools,Medium Poverty,Title I,1.8,Sudley Elementary Prince William County Public Schools
Unity Reed High,Prince William County Public Schools,Medium Poverty,Non-Title I,6,Unity Reed High Prince William County Public Schools
Triangle Elementary,Prince William County Public Schools,Medium Poverty,Title I,8.6,Triangle Elementary Prince William County Public Schools
Parkside Middle,Prince William County Public Schools,Medium Poverty,Non-Title I,15.5,Parkside Middle Prince William County Public Schools
Yorkshire Elementary,Prince William County Public Schools,High Poverty,Title I,1.5,Yorkshire Elementary Prince William County Public Schools
Springwoods Elementary,Prince William County Public Schools,Medium Poverty,Non-Title I,7,Springwoods Elementary Prince William County Public Schools
Haymarket Elementary,Prince William County Public Schools,Low Poverty,Non-Title I,7.3,Haymarket Elementary Prince William County Public Schools
Mountain View Elementary,Prince William County Public Schools,Low Poverty,Non-Title I,2.9,Mountain View Elementary Prince William County Public Schools
Montclair Elementary,Prince William County Public Schools,Medium Poverty,Non-Title I,4.1,Montclair Elementary Prince William County Public Schools
River Oaks Elementary,Prince William County Public Schools,Medium Poverty,Title I,15.7,River Oaks Elementary Prince William County Public Schools
C.A. Sinclair Elementary,Prince William County Public Schools,High Poverty,Title I,9.3,C.A. Sinclair Elementary Prince William County Public Schools
Signal Hill Elementary,Prince William County Public Schools,Low Poverty,Non-Title I,6.1,Signal Hill Elementary Prince William County Public Schools
Leesylvania Elementary,Prince William County Public Schools,Medium Poverty,Non-Title I,10.5,Leesylvania Elementary Prince William County Public Schools
Woodbridge High,Prince William County Public Schools,Medium Poverty,Non-Title I,12.4,Woodbridge High Prince William County Public Schools
Martin Luther King Jr. Elementary,Prince William County Public Schools,Medium Poverty,Non-Title I,2.8,Martin Luther King Jr. Elementary Prince William County Public Schools
Westridge Elementary,Prince William County Public Schools,Low Poverty,Non-Title I,4.2,Westridge Elementary Prince William County Public Schools
T. Clay Wood Elementary,Prince William County Public Schools,Low Poverty,Non-Title I,3.6,T. Clay Wood Elementary Prince William County Public Schools
Toano Middle,Williamsburg-James City County Public Schools,Low Poverty,Non-Title I,5.6,Toano Middle Williamsburg-James City County Public Schools
